gene_id	union_exon_bases	scored_exonic_bases	unique_exonic_bases	fraction_exonic_bases_scored	fraction_unique_mappability	mappability_status	overlapping_gene_count	overlapping_genes	unique_gene_model_status	uniform_gene_qc_status
LITCHI000032	1356	1356	1336	1.00000000	0.98525074	PASS	0		PASS	PASS
LITCHI000033	747	747	727	1.00000000	0.97322624	PASS	0		PASS	PASS
LITCHI000034	697	697	697	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI000035	2675	2675	2630	1.00000000	0.98317757	PASS	0		PASS	PASS
LITCHI000036	201	201	201	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI000037	528	528	511	1.00000000	0.96780303	PASS	0		PASS	PASS
LITCHI000038	673	673	671	1.00000000	0.99702823	PASS	0		PASS	PASS
LITCHI000039	231	231	231	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI000040	825	825	825	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI000041	555	555	555	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI000042	759	759	759	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI000043	595	595	595	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI000044	249	249	249	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI000045	915	915	850	1.00000000	0.92896175	PASS	0		PASS	PASS
LITCHI000046	285	285	259	1.00000000	0.90877193	PASS	0		PASS	PASS
LITCHI000047	7286	7286	5560	1.00000000	0.76310733	FAIL	0		PASS	FAIL
LITCHI000048	1236	1236	268	1.00000000	0.21682848	FAIL	0		PASS	FAIL
LITCHI000049	482	482	359	1.00000000	0.74481328	FAIL	0		PASS	FAIL
LITCHI000050	1299	1299	1026	1.00000000	0.78983834	FAIL	0		PASS	FAIL
LITCHI000051	655	655	527	1.00000000	0.80458015	PASS	0		PASS	PASS
LITCHI000052	1353	1353	1294	1.00000000	0.95639320	PASS	0		PASS	PASS
LITCHI000053	3278	3278	3278	1.00000000	1.00000000	PASS	1	LITCHI000054	FAIL	FAIL
LITCHI000054	4753	4753	4753	1.00000000	1.00000000	PASS	1	LITCHI000053	FAIL	FAIL
LITCHI000055	3817	3817	3654	1.00000000	0.95729631	PASS	0		PASS	PASS
LITCHI000056	282	282	282	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI000057	351	351	351	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI000058	423	423	423	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI000059	3644	3644	3505	1.00000000	0.96185510	PASS	0		PASS	PASS
LITCHI000060	351	351	351	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI000061	3705	3705	3494	1.00000000	0.94304993	PASS	0		PASS	PASS
LITCHI000062	2918	2918	2918	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI000063	398	398	398	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI000064	568	568	542	1.00000000	0.95422535	PASS	0		PASS	PASS
LITCHI000065	403	403	395	1.00000000	0.98014888	PASS	0		PASS	PASS
LITCHI000066	1869	1869	1391	1.00000000	0.74424826	FAIL	0		PASS	FAIL
LITCHI000067	366	366	366	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI000068	447	447	37	1.00000000	0.08277405	FAIL	0		PASS	FAIL
LITCHI000069	604	604	276	1.00000000	0.45695364	FAIL	0		PASS	FAIL
LITCHI000070	926	926	373	1.00000000	0.40280778	FAIL	0		PASS	FAIL
LITCHI000071	462	462	264	1.00000000	0.57142857	FAIL	0		PASS	FAIL
LITCHI000072	3618	3618	1982	1.00000000	0.54781647	FAIL	0		PASS	FAIL
LITCHI000073	447	447	75	1.00000000	0.16778523	FAIL	0		PASS	FAIL
LITCHI000074	627	627	556	1.00000000	0.88676236	PASS	0		PASS	PASS
LITCHI000075	975	975	975	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI000076	396	396	385	1.00000000	0.97222222	PASS	0		PASS	PASS
LITCHI000077	1049	1049	465	1.00000000	0.44327931	FAIL	0		PASS	FAIL
LITCHI000078	360	360	143	1.00000000	0.39722222	FAIL	0		PASS	FAIL
LITCHI000079	3565	3565	1812	1.00000000	0.50827489	FAIL	0		PASS	FAIL
LITCHI000080	219	219	219	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI000081	447	447	171	1.00000000	0.38255034	FAIL	0		PASS	FAIL
LITCHI000082	585	585	275	1.00000000	0.47008547	FAIL	0		PASS	FAIL
LITCHI000083	384	384	197	1.00000000	0.51302083	FAIL	0		PASS	FAIL
LITCHI000084	651	651	547	1.00000000	0.84024578	PASS	0		PASS	PASS
LITCHI000085	393	393	241	1.00000000	0.61323155	FAIL	0		PASS	FAIL
LITCHI000086	918	918	918	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI000087	567	567	567	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI000088	381	381	246	1.00000000	0.64566929	FAIL	0		PASS	FAIL
LITCHI000089	567	567	371	1.00000000	0.65432099	FAIL	0		PASS	FAIL
LITCHI000090	372	372	372	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI000091	887	887	887	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI000092	2021	2021	2021	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI000093	729	729	729	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI000094	372	372	372	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI000095	345	345	345	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI000096	234	234	234	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI000097	375	375	375	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI000098	291	291	291	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI000099	256	256	256	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI000100	375	375	375	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI000101	366	366	366	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI000102	530	530	515	1.00000000	0.97169811	PASS	0		PASS	PASS
LITCHI000103	201	201	153	1.00000000	0.76119403	FAIL	0		PASS	FAIL
LITCHI000104	972	972	840	1.00000000	0.86419753	PASS	0		PASS	PASS
LITCHI000105	300	300	300	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI000106	384	384	384	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI000107	378	378	378	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI000108	378	378	378	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI000109	408	408	12	1.00000000	0.02941176	FAIL	0		PASS	FAIL
LITCHI000110	1226	1226	1067	1.00000000	0.87030995	PASS	0		PASS	PASS
LITCHI000111	246	246	246	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI000112	669	669	669	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI000113	3183	3183	3183	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI000114	3726	3726	3726	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI000115	1803	1803	1803	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI000116	828	828	286	1.00000000	0.34541063	FAIL	0		PASS	FAIL
LITCHI000117	2214	2214	2214	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI000118	2963	2963	2963	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI000119	356	356	356	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI000120	4677	4677	4677	1.00000000	1.00000000	PASS	1	LITCHI000121	FAIL	FAIL
LITCHI000121	795	795	447	1.00000000	0.56226415	FAIL	1	LITCHI000120	FAIL	FAIL
LITCHI000122	4892	4892	4892	1.00000000	1.00000000	PASS	1	LITCHI000123	FAIL	FAIL
LITCHI000123	2070	2070	2070	1.00000000	1.00000000	PASS	1	LITCHI000122	FAIL	FAIL
LITCHI000124	417	417	417	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI000125	5888	5888	5888	1.00000000	1.00000000	PASS	1	LITCHI000126	FAIL	FAIL
LITCHI000126	3694	3694	3694	1.00000000	1.00000000	PASS	1	LITCHI000125	FAIL	FAIL
LITCHI000127	717	717	717	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI000128	2864	2864	1452	1.00000000	0.50698324	FAIL	0		PASS	FAIL
LITCHI000129	1765	1765	457	1.00000000	0.25892351	FAIL	0		PASS	FAIL
LITCHI000130	705	705	184	1.00000000	0.26099291	FAIL	0		PASS	FAIL
LITCHI000131	375	375	0	1.00000000	0.00000000	FAIL	0		PASS	FAIL
LITCHI000132	585	585	287	1.00000000	0.49059829	FAIL	0		PASS	FAIL
LITCHI000133	1181	1181	182	1.00000000	0.15410669	FAIL	0		PASS	FAIL
LITCHI000134	597	597	358	1.00000000	0.59966499	FAIL	0		PASS	FAIL
LITCHI000135	2652	2652	1835	1.00000000	0.69193062	FAIL	0		PASS	FAIL
LITCHI000136	303	303	78	1.00000000	0.25742574	FAIL	0		PASS	FAIL
LITCHI000137	780	780	493	1.00000000	0.63205128	FAIL	0		PASS	FAIL
LITCHI000138	1401	1401	99	1.00000000	0.07066381	FAIL	0		PASS	FAIL
LITCHI000139	1150	1150	548	1.00000000	0.47652174	FAIL	0		PASS	FAIL
LITCHI000140	1739	1739	715	1.00000000	0.41115584	FAIL	0		PASS	FAIL
LITCHI000141	363	363	27	1.00000000	0.07438017	FAIL	0		PASS	FAIL
LITCHI000142	468	468	310	1.00000000	0.66239316	FAIL	0		PASS	FAIL
LITCHI000143	1643	1643	539	1.00000000	0.32805843	FAIL	0		PASS	FAIL
LITCHI000144	942	942	377	1.00000000	0.40021231	FAIL	0		PASS	FAIL
LITCHI000145	498	498	433	1.00000000	0.86947791	PASS	0		PASS	PASS
LITCHI000146	624	624	184	1.00000000	0.29487179	FAIL	0		PASS	FAIL
LITCHI000147	783	783	198	1.00000000	0.25287356	FAIL	0		PASS	FAIL
LITCHI000148	1588	1588	1359	1.00000000	0.85579345	PASS	0		PASS	PASS
LITCHI000149	2283	2283	2033	1.00000000	0.89049496	PASS	0		PASS	PASS
LITCHI000150	831	831	763	1.00000000	0.91817088	PASS	0		PASS	PASS
LITCHI000151	789	789	384	1.00000000	0.48669202	FAIL	0		PASS	FAIL
LITCHI000152	903	903	199	1.00000000	0.22037652	FAIL	0		PASS	FAIL
LITCHI000153	2111	2111	1844	1.00000000	0.87351966	PASS	0		PASS	PASS
LITCHI000154	2127	2127	2127	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI000155	3821	3821	3821	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI000156	543	543	543	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI000157	1035	1035	1035	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI000158	138	138	138	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI000159	264	264	220	1.00000000	0.83333333	PASS	0		PASS	PASS
LITCHI000160	306	306	262	1.00000000	0.85620915	PASS	0		PASS	PASS
LITCHI000161	1107	1107	1065	1.00000000	0.96205962	PASS	0		PASS	PASS
LITCHI000162	219	219	219	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI000163	1416	1416	1416	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI000164	240	240	232	1.00000000	0.96666667	PASS	0		PASS	PASS
LITCHI000165	603	603	587	1.00000000	0.97346600	PASS	0		PASS	PASS
LITCHI000166	1905	1905	1886	1.00000000	0.99002625	PASS	1	LITCHI000167	FAIL	FAIL
LITCHI000167	3639	3639	3546	1.00000000	0.97444353	PASS	1	LITCHI000166	FAIL	FAIL
LITCHI000168	611	611	592	1.00000000	0.96890344	PASS	0		PASS	PASS
LITCHI000169	4434	4434	4434	1.00000000	1.00000000	PASS	1	LITCHI000170	FAIL	FAIL
LITCHI000170	4225	4225	4225	1.00000000	1.00000000	PASS	1	LITCHI000169	FAIL	FAIL
LITCHI000171	288	288	10	1.00000000	0.03472222	FAIL	0		PASS	FAIL
LITCHI000172	570	570	52	1.00000000	0.09122807	FAIL	0		PASS	FAIL
LITCHI000173	1588	1588	1588	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI000174	336	336	224	1.00000000	0.66666667	FAIL	0		PASS	FAIL
LITCHI000175	471	471	377	1.00000000	0.80042463	PASS	0		PASS	PASS
LITCHI000176	1020	1020	315	1.00000000	0.30882353	FAIL	0		PASS	FAIL
LITCHI000177	2046	2046	1987	1.00000000	0.97116325	PASS	0		PASS	PASS
LITCHI000178	372	372	335	1.00000000	0.90053763	PASS	0		PASS	PASS
LITCHI000179	264	264	264	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI000180	654	654	654	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI000181	1017	1017	1017	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI000182	4845	4845	4845	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI000183	1784	1784	1784	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI000184	9719	9719	9719	1.00000000	1.00000000	PASS	1	LITCHI000185	FAIL	FAIL
LITCHI000185	7178	7178	7178	1.00000000	1.00000000	PASS	1	LITCHI000184	FAIL	FAIL
LITCHI000186	1969	1969	1969	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI000187	3316	3316	3316	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI000188	1362	1362	1362	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI000189	531	531	496	1.00000000	0.93408663	PASS	0		PASS	PASS
LITCHI000190	276	276	276	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI000191	528	528	528	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI000192	491	491	411	1.00000000	0.83706721	PASS	0		PASS	PASS
LITCHI000193	369	369	332	1.00000000	0.89972900	PASS	0		PASS	PASS
LITCHI000194	216	216	216	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI000195	1658	1658	1546	1.00000000	0.93244873	PASS	0		PASS	PASS
LITCHI000196	1092	1092	1088	1.00000000	0.99633700	PASS	0		PASS	PASS
LITCHI000197	1561	1561	1247	1.00000000	0.79884689	FAIL	0		PASS	FAIL
LITCHI000198	1601	1601	1601	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI000199	1722	1722	1647	1.00000000	0.95644599	PASS	0		PASS	PASS
LITCHI000200	7446	7446	7446	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI000201	276	276	250	1.00000000	0.90579710	PASS	0		PASS	PASS
LITCHI000202	318	318	219	1.00000000	0.68867925	FAIL	0		PASS	FAIL
LITCHI000203	993	993	687	1.00000000	0.69184290	FAIL	0		PASS	FAIL
LITCHI000204	306	306	306	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI000205	3264	3264	3264	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI000206	1661	1661	1622	1.00000000	0.97652017	PASS	0		PASS	PASS
LITCHI000207	759	759	669	1.00000000	0.88142292	PASS	0		PASS	PASS
LITCHI000208	411	411	363	1.00000000	0.88321168	PASS	0		PASS	PASS
LITCHI000209	556	556	176	1.00000000	0.31654676	FAIL	0		PASS	FAIL
LITCHI000210	309	309	296	1.00000000	0.95792880	PASS	0		PASS	PASS
LITCHI000211	1257	1257	1103	1.00000000	0.87748608	PASS	0		PASS	PASS
LITCHI000212	441	441	368	1.00000000	0.83446712	PASS	0		PASS	PASS
LITCHI000213	1170	1170	677	1.00000000	0.57863248	FAIL	0		PASS	FAIL
LITCHI000214	692	692	91	1.00000000	0.13150289	FAIL	0		PASS	FAIL
LITCHI000215	684	684	11	1.00000000	0.01608187	FAIL	0		PASS	FAIL
LITCHI000216	2429	2429	2202	1.00000000	0.90654590	PASS	0		PASS	PASS
LITCHI000217	486	486	96	1.00000000	0.19753086	FAIL	0		PASS	FAIL
LITCHI000218	1710	1637	417	0.95730994	0.25473427	FAIL	0		PASS	FAIL
LITCHI000219	1674	1674	771	1.00000000	0.46057348	FAIL	0		PASS	FAIL
LITCHI000220	868	868	592	1.00000000	0.68202765	FAIL	0		PASS	FAIL
LITCHI000221	1074	1074	814	1.00000000	0.75791434	FAIL	0		PASS	FAIL
LITCHI000222	1659	1659	1090	1.00000000	0.65702230	FAIL	0		PASS	FAIL
LITCHI000223	1346	1346	399	1.00000000	0.29643388	FAIL	0		PASS	FAIL
LITCHI000224	1016	1016	471	1.00000000	0.46358268	FAIL	0		PASS	FAIL
LITCHI000225	283	283	159	1.00000000	0.56183746	FAIL	0		PASS	FAIL
LITCHI000226	849	849	568	1.00000000	0.66902238	FAIL	0		PASS	FAIL
LITCHI000227	687	687	467	1.00000000	0.67976710	FAIL	0		PASS	FAIL
LITCHI000228	297	297	237	1.00000000	0.79797980	FAIL	0		PASS	FAIL
LITCHI000229	2746	2746	2664	1.00000000	0.97013838	PASS	0		PASS	PASS
LITCHI000230	375	375	324	1.00000000	0.86400000	PASS	0		PASS	PASS
LITCHI000231	1374	1374	1208	1.00000000	0.87918486	PASS	0		PASS	PASS
LITCHI000232	201	201	193	1.00000000	0.96019900	PASS	0		PASS	PASS
LITCHI000233	342	342	342	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI000234	964	964	960	1.00000000	0.99585062	PASS	0		PASS	PASS
LITCHI000235	606	606	508	1.00000000	0.83828383	PASS	0		PASS	PASS
LITCHI000236	1136	1136	702	1.00000000	0.61795775	FAIL	0		PASS	FAIL
LITCHI000237	195	195	195	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI000238	429	429	417	1.00000000	0.97202797	PASS	0		PASS	PASS
LITCHI000239	1296	1296	725	1.00000000	0.55941358	FAIL	0		PASS	FAIL
LITCHI000240	2948	2948	2643	1.00000000	0.89654003	PASS	0		PASS	PASS
LITCHI000241	718	718	85	1.00000000	0.11838440	FAIL	0		PASS	FAIL
LITCHI000242	291	291	226	1.00000000	0.77663230	FAIL	0		PASS	FAIL
LITCHI000243	228	228	221	1.00000000	0.96929825	PASS	0		PASS	PASS
LITCHI000244	1350	1350	423	1.00000000	0.31333333	FAIL	0		PASS	FAIL
LITCHI000245	645	645	210	1.00000000	0.32558140	FAIL	0		PASS	FAIL
LITCHI000246	1752	1752	360	1.00000000	0.20547945	FAIL	0		PASS	FAIL
LITCHI000247	1213	1213	828	1.00000000	0.68260511	FAIL	0		PASS	FAIL
LITCHI000248	813	813	656	1.00000000	0.80688807	PASS	0		PASS	PASS
LITCHI000249	1644	1644	251	1.00000000	0.15267640	FAIL	0		PASS	FAIL
LITCHI000250	440	440	440	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI000251	597	597	597	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI000252	573	573	573	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI000253	616	616	616	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI000254	1305	1305	1305	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI000255	631	631	501	1.00000000	0.79397781	FAIL	0		PASS	FAIL
LITCHI000256	401	401	282	1.00000000	0.70324190	FAIL	0		PASS	FAIL
LITCHI000257	909	909	726	1.00000000	0.79867987	FAIL	0		PASS	FAIL
LITCHI000258	312	312	252	1.00000000	0.80769231	PASS	0		PASS	PASS
LITCHI000259	3023	3023	1633	1.00000000	0.54019186	FAIL	0		PASS	FAIL
LITCHI000260	504	504	504	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI000261	1380	1380	1373	1.00000000	0.99492754	PASS	0		PASS	PASS
LITCHI000262	417	417	398	1.00000000	0.95443645	PASS	0		PASS	PASS
LITCHI000263	273	273	205	1.00000000	0.75091575	FAIL	0		PASS	FAIL
LITCHI000264	4299	4299	3421	1.00000000	0.79576646	FAIL	0		PASS	FAIL
LITCHI000265	327	327	327	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI000266	830	830	587	1.00000000	0.70722892	FAIL	0		PASS	FAIL
LITCHI000267	186	186	186	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI000268	4857	4857	4532	1.00000000	0.93308627	PASS	0		PASS	PASS
LITCHI000269	960	960	586	1.00000000	0.61041667	FAIL	0		PASS	FAIL
LITCHI000270	2487	2487	1984	1.00000000	0.79774829	FAIL	0		PASS	FAIL
LITCHI000271	9167	9167	8921	1.00000000	0.97316461	PASS	0		PASS	PASS
LITCHI000272	1206	1206	1206	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI000273	5045	5045	5045	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI000274	2365	2365	2356	1.00000000	0.99619450	PASS	0		PASS	PASS
LITCHI000275	1767	1767	1495	1.00000000	0.84606678	PASS	0		PASS	PASS
LITCHI000276	2050	2050	1735	1.00000000	0.84634146	PASS	0		PASS	PASS
LITCHI000277	3790	3790	3473	1.00000000	0.91635884	PASS	0		PASS	PASS
LITCHI000278	314	314	234	1.00000000	0.74522293	FAIL	0		PASS	FAIL
LITCHI000279	2935	2935	2747	1.00000000	0.93594549	PASS	0		PASS	PASS
LITCHI000280	831	831	706	1.00000000	0.84957882	PASS	0		PASS	PASS
LITCHI000281	996	996	849	1.00000000	0.85240964	PASS	0		PASS	PASS
LITCHI000282	459	459	455	1.00000000	0.99128540	PASS	0		PASS	PASS
LITCHI000283	969	969	852	1.00000000	0.87925697	PASS	0		PASS	PASS
LITCHI000284	456	456	414	1.00000000	0.90789474	PASS	0		PASS	PASS
LITCHI000285	1299	1299	1299	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI000286	729	729	729	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI000287	1243	1243	1200	1.00000000	0.96540628	PASS	0		PASS	PASS
LITCHI000288	2580	2580	2579	1.00000000	0.99961240	PASS	0		PASS	PASS
LITCHI000289	1979	1979	1972	1.00000000	0.99646286	PASS	0		PASS	PASS
LITCHI000290	1752	1752	1231	1.00000000	0.70262557	FAIL	0		PASS	FAIL
LITCHI000291	180	180	25	1.00000000	0.13888889	FAIL	0		PASS	FAIL
LITCHI000292	291	291	291	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI000293	1356	1356	1262	1.00000000	0.93067847	PASS	0		PASS	PASS
LITCHI000294	3577	3577	893	1.00000000	0.24965055	FAIL	0		PASS	FAIL
LITCHI000295	1457	1457	1324	1.00000000	0.90871654	PASS	0		PASS	PASS
LITCHI000296	453	453	149	1.00000000	0.32891832	FAIL	0		PASS	FAIL
LITCHI000297	2832	2832	600	1.00000000	0.21186441	FAIL	0		PASS	FAIL
LITCHI000298	420	420	419	1.00000000	0.99761905	PASS	0		PASS	PASS
LITCHI000299	303	303	303	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI000300	411	411	411	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI000301	636	636	550	1.00000000	0.86477987	PASS	0		PASS	PASS
LITCHI000302	1188	1188	1188	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI000303	207	207	207	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI000304	1647	1647	1233	1.00000000	0.74863388	FAIL	0		PASS	FAIL
LITCHI000305	228	228	228	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI000306	951	951	854	1.00000000	0.89800210	PASS	0		PASS	PASS
LITCHI000307	813	813	813	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI000308	1362	1362	1284	1.00000000	0.94273128	PASS	0		PASS	PASS
LITCHI000309	351	351	351	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI000310	918	918	895	1.00000000	0.97494553	PASS	0		PASS	PASS
LITCHI000311	345	345	345	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI000312	1413	1413	1413	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI000313	880	880	880	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI000314	1182	1182	1091	1.00000000	0.92301184	PASS	1	LITCHI000315	FAIL	FAIL
LITCHI000315	1399	1399	1304	1.00000000	0.93209435	PASS	1	LITCHI000314	FAIL	FAIL
LITCHI000316	1071	1071	998	1.00000000	0.93183940	PASS	0		PASS	PASS
LITCHI000317	1398	1398	1016	1.00000000	0.72675250	FAIL	0		PASS	FAIL
LITCHI000318	2248	2248	1866	1.00000000	0.83007117	PASS	0		PASS	PASS
LITCHI000319	1616	1616	1616	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI000320	279	279	279	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI000321	1834	1834	1726	1.00000000	0.94111232	PASS	0		PASS	PASS
LITCHI000322	368	368	368	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI000323	2700	2700	2700	1.00000000	1.00000000	PASS	0		PASS	PASS
LITCHI000324	3379	3379	1018	1.00000000	0.30127257	FAIL	0		PASS	FAIL
LITCHI000325	2381	2284	694	0.95926081	0.30385289	FAIL	0		PASS	FAIL
