gene_id	canonical_transcript_id	protein_length	protein_md5	swissprot_accession	swissprot_description	swissprot_query_coverage	rice_ortholog_accession	rice_query_coverage	pfam_accessions	interpro_accessions	architecture_union_coverage	interpro_status	swissprot_evidence_pass	rice_rbh_evidence_pass	interpro_pfam_evidence_pass	annotation_evidence_classes	annotation_evidence_class_count	maximum_supported_sequence_coverage	architecture_conflict_status	high_confidence_annotation	reported_function	annotation_status	annotation_failure
LITCHI008905	LITCHI008905.m1	776	2e31226882ba17ee4198292ec081e079	Q94A08	Probable galactinol--sucrose galactosyltransferase 2	1.0	Q6ZLJ9	1.0			0.0	NO_PRECOMPUTED_MATCH_SUBMIT_INTERPROSCAN	True	True	False	reviewed Swiss-Prot DIAMOND match;one-to-one reciprocal-best Oryza ortholog	2	1.0	NOT_ASSESSABLE_NO_PRECOMPUTED_MATCH	False	Probable galactinol--sucrose galactosyltransferase 2	FAMILY_LEVEL_FUNCTION	False
LITCHI009437	LITCHI009437.m1	181	c987c1d818d5c4f1bf1ed3e6df7e1eb6	Q9LTD9	Uncharacterized protein PAM68-like	0.7403314917127072					0.0	NO_PRECOMPUTED_MATCH_SUBMIT_INTERPROSCAN	True	False	False	reviewed Swiss-Prot DIAMOND match	1	0.7403314917127072	NOT_ASSESSABLE_NO_PRECOMPUTED_MATCH	False	Uncharacterized protein PAM68-like	FAMILY_LEVEL_FUNCTION	False
LITCHI009639	LITCHI009639.m1	493	4bc498cfccc6c990619ac8e96ffb4e0a	Q9CA34	Probable xyloglucan galactosyltransferase GT17	0.8052738336713996					0.0	NO_PRECOMPUTED_MATCH_SUBMIT_INTERPROSCAN	True	False	False	reviewed Swiss-Prot DIAMOND match	1	0.8052738336713996	NOT_ASSESSABLE_NO_PRECOMPUTED_MATCH	False	Probable xyloglucan galactosyltransferase GT17	FAMILY_LEVEL_FUNCTION	False
LITCHI009696	LITCHI009696.m1	841	d7ef18d9284d5a51c729d5205710fe59	F4IDJ0	Nucleolar complex-associated protein 3	0.9774078478002378	Q656B0	0.945			0.0	NO_PRECOMPUTED_MATCH_SUBMIT_INTERPROSCAN	True	True	False	reviewed Swiss-Prot DIAMOND match;one-to-one reciprocal-best Oryza ortholog	2	0.9774078478002378	NOT_ASSESSABLE_NO_PRECOMPUTED_MATCH	False	Nucleolar complex-associated protein 3	FAMILY_LEVEL_FUNCTION	False
LITCHI010138	LITCHI010138.m5	356	42456efd8bc4a5977b0383e71f972db6	Q8LE10	HVA22-like protein i	0.9747191011235955					0.0	NO_PRECOMPUTED_MATCH_SUBMIT_INTERPROSCAN	True	False	False	reviewed Swiss-Prot DIAMOND match	1	0.9747191011235955	NOT_ASSESSABLE_NO_PRECOMPUTED_MATCH	False	HVA22-like protein i	FAMILY_LEVEL_FUNCTION	False
LITCHI010273	LITCHI010273.m1	306	26da5de00a292c0f1784b39b1e41092e	B2WSN1	Eugenol synthase 1	0.9901960784313726	A0A0P0WWN3	0.993			0.0	NO_PRECOMPUTED_MATCH_SUBMIT_INTERPROSCAN	True	True	False	reviewed Swiss-Prot DIAMOND match;one-to-one reciprocal-best Oryza ortholog	2	0.993	NOT_ASSESSABLE_NO_PRECOMPUTED_MATCH	False	Eugenol synthase 1	FAMILY_LEVEL_FUNCTION	False
LITCHI010325	LITCHI010325.m1	181	84ce8d7240e30bfa4c5f891f54a4c45c								0.0	NO_PRECOMPUTED_MATCH_SUBMIT_INTERPROSCAN	False	False	False		0	0.0	NOT_ASSESSABLE_NO_PRECOMPUTED_MATCH	False	unannotated protein	UNANNOTATED	False
LITCHI010434	LITCHI010434.m1	608	68703a5e6f76616d756ad379038265eb	Q8KPU2	tRNA modification GTPase MnmE	0.8569078947368421	Q6Z9X4	0.855			0.0	NO_PRECOMPUTED_MATCH_SUBMIT_INTERPROSCAN	True	True	False	reviewed Swiss-Prot DIAMOND match;one-to-one reciprocal-best Oryza ortholog	2	0.8569078947368421	NOT_ASSESSABLE_NO_PRECOMPUTED_MATCH	False	tRNA modification GTPase MnmE	FAMILY_LEVEL_FUNCTION	False
LITCHI010541	LITCHI010541.m1	351	81dab19ab288a4df988414c3a1aa1312	O82161	Protein PHOSPHATE-INDUCED 1	0.8575498575498576	Q0DXF4	0.823			0.0	NO_PRECOMPUTED_MATCH_SUBMIT_INTERPROSCAN	True	True	False	reviewed Swiss-Prot DIAMOND match;one-to-one reciprocal-best Oryza ortholog	2	0.8575498575498576	NOT_ASSESSABLE_NO_PRECOMPUTED_MATCH	False	Protein PHOSPHATE-INDUCED 1	FAMILY_LEVEL_FUNCTION	False
LITCHI010704	LITCHI010704.m1	332	61ff1d52f8b591132917b4c465ac84e6				A0A0P0XYL5	0.819			0.0	NO_PRECOMPUTED_MATCH_SUBMIT_INTERPROSCAN	False	True	False	one-to-one reciprocal-best Oryza ortholog	1	0.819	NOT_ASSESSABLE_NO_PRECOMPUTED_MATCH	False	family of Oryza ortholog A0A0P0XYL5	FAMILY_LEVEL_FUNCTION	False
LITCHI010765	LITCHI010765.m2	314	5a4a84a3909d654d5260b187236e3329	P46604	Homeobox-leucine zipper protein HAT22	1.0668789808917198					0.0	NO_PRECOMPUTED_MATCH_SUBMIT_INTERPROSCAN	True	False	False	reviewed Swiss-Prot DIAMOND match	1	1.0668789808917198	NOT_ASSESSABLE_NO_PRECOMPUTED_MATCH	False	Homeobox-leucine zipper protein HAT22	FAMILY_LEVEL_FUNCTION	False
LITCHI010845	LITCHI010845.m1	421	8790dcbd681a958028daf04571dcdb4d								0.0	NO_PRECOMPUTED_MATCH_SUBMIT_INTERPROSCAN	False	False	False		0	0.0	NOT_ASSESSABLE_NO_PRECOMPUTED_MATCH	False	unannotated protein	UNANNOTATED	False
LITCHI010877	LITCHI010877.m1	737	952482a7d433f0441a53c095d6b6e90e	W8JMU7	Cytochrome P450 81Q32	0.6445047489823609					0.0	NO_PRECOMPUTED_MATCH_SUBMIT_INTERPROSCAN	False	False	False		0	0.6445047489823609	NOT_ASSESSABLE_NO_PRECOMPUTED_MATCH	False	Cytochrome P450 81Q32	UNANNOTATED	False
LITCHI010987	LITCHI010987.m1	256	5f13669acf00b765d1f530e13adad224	Q8L8T7	Cold-regulated protein 27	0.796875	Q10QT4	0.797			0.0	NO_PRECOMPUTED_MATCH_SUBMIT_INTERPROSCAN	True	True	False	reviewed Swiss-Prot DIAMOND match;one-to-one reciprocal-best Oryza ortholog	2	0.797	NOT_ASSESSABLE_NO_PRECOMPUTED_MATCH	False	Cold-regulated protein 27	FAMILY_LEVEL_FUNCTION	False
LITCHI011122	LITCHI011122.m1	353	5c0b2e9b095b40c4ef7537b690dd52e5								0.0	NO_PRECOMPUTED_MATCH_SUBMIT_INTERPROSCAN	False	False	False		0	0.0	NOT_ASSESSABLE_NO_PRECOMPUTED_MATCH	False	unannotated protein	UNANNOTATED	False
LITCHI011195	LITCHI011195.m1	133	25f8078c4990c450a6a030e5f76b474e								0.0	NO_PRECOMPUTED_MATCH_SUBMIT_INTERPROSCAN	False	False	False		0	0.0	NOT_ASSESSABLE_NO_PRECOMPUTED_MATCH	False	unannotated protein	UNANNOTATED	False
LITCHI011255	LITCHI011255.m1	1463	f98db181265c4ce5cc2d1972a24b9bdc								0.0	NO_PRECOMPUTED_MATCH_SUBMIT_INTERPROSCAN	False	False	False		0	0.0	NOT_ASSESSABLE_NO_PRECOMPUTED_MATCH	False	unannotated protein	UNANNOTATED	False
LITCHI011424	LITCHI011424.m1	193	b394e58e77c5c13bab9372972af07e93	Q5XH16	NHP2-like protein 1	1.0					0.0	NO_PRECOMPUTED_MATCH_SUBMIT_INTERPROSCAN	True	False	False	reviewed Swiss-Prot DIAMOND match	1	1.0	NOT_ASSESSABLE_NO_PRECOMPUTED_MATCH	False	NHP2-like protein 1	FAMILY_LEVEL_FUNCTION	False
LITCHI011520	LITCHI011520.m1	1171	99b7a3a58594e490e2328913db4aa5d1	Q9SQI2	Protein GIGANTEA	1.005123825789923	Q9AWL7	0.999			0.0	NO_PRECOMPUTED_MATCH_SUBMIT_INTERPROSCAN	True	True	False	reviewed Swiss-Prot DIAMOND match;one-to-one reciprocal-best Oryza ortholog	2	1.005123825789923	NOT_ASSESSABLE_NO_PRECOMPUTED_MATCH	False	Protein GIGANTEA	FAMILY_LEVEL_FUNCTION	False
LITCHI011536	LITCHI011536.m1	641	85c9c68aaf636006a4df1afcd2499807	Q56X76	DEAD-box ATP-dependent RNA helicase 39	0.8564742589703588	Q5VRY0	0.754			0.0	NO_PRECOMPUTED_MATCH_SUBMIT_INTERPROSCAN	True	True	False	reviewed Swiss-Prot DIAMOND match;one-to-one reciprocal-best Oryza ortholog	2	0.8564742589703588	NOT_ASSESSABLE_NO_PRECOMPUTED_MATCH	False	DEAD-box ATP-dependent RNA helicase 39	FAMILY_LEVEL_FUNCTION	False
LITCHI011959	LITCHI011959.m1	309	9e32985bcc841a30a360aa3773740d19	P20593	Interferon-induced GTP-binding protein Mx (Fragment)	0.5954692556634305					0.0	NO_PRECOMPUTED_MATCH_SUBMIT_INTERPROSCAN	False	False	False		0	0.5954692556634305	NOT_ASSESSABLE_NO_PRECOMPUTED_MATCH	False	Interferon-induced GTP-binding protein Mx (Fragment)	UNANNOTATED	False
