gene_id	canonical_transcript_id	protein_length	protein_md5	selection_rule
LITCHI006920	LITCHI006920.m1	196	ab64dc25ecd59b620706ac38b1b283ad	longest_CDS_then_lexicographic_transcript_ID
LITCHI006923	LITCHI006923.m1	666	cba798e7ca325bb9a9a962e63443cd11	longest_CDS_then_lexicographic_transcript_ID
LITCHI007095	LITCHI007095.m1	299	107cc1405500a8eb2851f9c676424be1	longest_CDS_then_lexicographic_transcript_ID
LITCHI007293	LITCHI007293.m1	289	57964a81bc29fb709301e33dea77185a	longest_CDS_then_lexicographic_transcript_ID
LITCHI007341	LITCHI007341.m1	96	211e4d7c3beea04e87810ec00134975b	longest_CDS_then_lexicographic_transcript_ID
LITCHI007955	LITCHI007955.m1	183	641ddab50ff31f8968b1253b325a97f2	longest_CDS_then_lexicographic_transcript_ID
LITCHI008095	LITCHI008095.m1	662	74a41871a643815508ba30e05e5f3888	longest_CDS_then_lexicographic_transcript_ID
LITCHI008313	LITCHI008313.m1	516	bd3486a21b12c828e7e61d9b6781dfbf	longest_CDS_then_lexicographic_transcript_ID
LITCHI008330	LITCHI008330.m1	142	0e6e6c081fd7ca6a336f5ecaad4c0700	longest_CDS_then_lexicographic_transcript_ID
LITCHI008721	LITCHI008721.m1	136	be3eff7e2d97fb61b26cdeb15af35038	longest_CDS_then_lexicographic_transcript_ID
LITCHI008817	LITCHI008817.m1	562	b14f625120e37bc27c9a66967ea50fdc	longest_CDS_then_lexicographic_transcript_ID
LITCHI008905	LITCHI008905.m1	776	2e31226882ba17ee4198292ec081e079	longest_CDS_then_lexicographic_transcript_ID
LITCHI009437	LITCHI009437.m1	181	c987c1d818d5c4f1bf1ed3e6df7e1eb6	longest_CDS_then_lexicographic_transcript_ID
LITCHI009639	LITCHI009639.m1	493	4bc498cfccc6c990619ac8e96ffb4e0a	longest_CDS_then_lexicographic_transcript_ID
LITCHI009696	LITCHI009696.m1	841	d7ef18d9284d5a51c729d5205710fe59	longest_CDS_then_lexicographic_transcript_ID
LITCHI010138	LITCHI010138.m5	356	42456efd8bc4a5977b0383e71f972db6	longest_CDS_then_lexicographic_transcript_ID
LITCHI010273	LITCHI010273.m1	306	26da5de00a292c0f1784b39b1e41092e	longest_CDS_then_lexicographic_transcript_ID
LITCHI010325	LITCHI010325.m1	181	84ce8d7240e30bfa4c5f891f54a4c45c	longest_CDS_then_lexicographic_transcript_ID
LITCHI010434	LITCHI010434.m1	608	68703a5e6f76616d756ad379038265eb	longest_CDS_then_lexicographic_transcript_ID
LITCHI010541	LITCHI010541.m1	351	81dab19ab288a4df988414c3a1aa1312	longest_CDS_then_lexicographic_transcript_ID
LITCHI010704	LITCHI010704.m1	332	61ff1d52f8b591132917b4c465ac84e6	longest_CDS_then_lexicographic_transcript_ID
LITCHI010765	LITCHI010765.m2	314	5a4a84a3909d654d5260b187236e3329	longest_CDS_then_lexicographic_transcript_ID
LITCHI010845	LITCHI010845.m1	421	8790dcbd681a958028daf04571dcdb4d	longest_CDS_then_lexicographic_transcript_ID
LITCHI010877	LITCHI010877.m1	737	952482a7d433f0441a53c095d6b6e90e	longest_CDS_then_lexicographic_transcript_ID
LITCHI010987	LITCHI010987.m1	256	5f13669acf00b765d1f530e13adad224	longest_CDS_then_lexicographic_transcript_ID
LITCHI011122	LITCHI011122.m1	353	5c0b2e9b095b40c4ef7537b690dd52e5	longest_CDS_then_lexicographic_transcript_ID
LITCHI011195	LITCHI011195.m1	133	25f8078c4990c450a6a030e5f76b474e	longest_CDS_then_lexicographic_transcript_ID
LITCHI011255	LITCHI011255.m1	1463	f98db181265c4ce5cc2d1972a24b9bdc	longest_CDS_then_lexicographic_transcript_ID
LITCHI011424	LITCHI011424.m1	193	b394e58e77c5c13bab9372972af07e93	longest_CDS_then_lexicographic_transcript_ID
LITCHI011520	LITCHI011520.m1	1171	99b7a3a58594e490e2328913db4aa5d1	longest_CDS_then_lexicographic_transcript_ID
LITCHI011536	LITCHI011536.m1	641	85c9c68aaf636006a4df1afcd2499807	longest_CDS_then_lexicographic_transcript_ID
LITCHI011959	LITCHI011959.m1	309	9e32985bcc841a30a360aa3773740d19	longest_CDS_then_lexicographic_transcript_ID
LITCHI012432	LITCHI012432.m1	469	fa4f68f84cc087f71b64fd97d1bf37a0	longest_CDS_then_lexicographic_transcript_ID
LITCHI012815	LITCHI012815.m1	229	748157be25750fd8af1f254c690a92b8	longest_CDS_then_lexicographic_transcript_ID
LITCHI013088	LITCHI013088.m1	441	840fddc61e132f079bd0af8710a459a1	longest_CDS_then_lexicographic_transcript_ID
LITCHI013276	LITCHI013276.m1	118	e9d511f619d8d9b92e120dfeae517199	longest_CDS_then_lexicographic_transcript_ID
LITCHI013379	LITCHI013379.m1	83	c7917ba1fd226be08204c3e6398cb0d8	longest_CDS_then_lexicographic_transcript_ID
LITCHI013895	LITCHI013895.m1	255	8fd9b6b2e2640d78638f6192742693b9	longest_CDS_then_lexicographic_transcript_ID
LITCHI013915	LITCHI013915.m1	900	7cccb15b38dd51abfb43b4071c7af416	longest_CDS_then_lexicographic_transcript_ID
LITCHI013925	LITCHI013925.m1	591	7ffe26f96674c860e335a3e756b6f257	longest_CDS_then_lexicographic_transcript_ID
LITCHI014256	LITCHI014256.m1	489	59c3568b06f4d09085877931064e1204	longest_CDS_then_lexicographic_transcript_ID
LITCHI014400	LITCHI014400.m1	97	fb58bd2c7d2df8c8a1435b599f99ac49	longest_CDS_then_lexicographic_transcript_ID
LITCHI014480	LITCHI014480.m1	1311	5b5f8939d69b9b7526babf4f00e033c5	longest_CDS_then_lexicographic_transcript_ID
LITCHI014613	LITCHI014613.m1	486	ed04f5868380c97530bd049d047f21d4	longest_CDS_then_lexicographic_transcript_ID
LITCHI014624	LITCHI014624.m1	196	baf1b7f474e3be3b3cf015542b8f4fbc	longest_CDS_then_lexicographic_transcript_ID
LITCHI014759	LITCHI014759.m2	694	4e1ee7788d1d07d27d8f5129e3d1a8c7	longest_CDS_then_lexicographic_transcript_ID
LITCHI014813	LITCHI014813.m1	683	b3c4375a46ac3ae3a914e1b05238bb62	longest_CDS_then_lexicographic_transcript_ID
LITCHI014858	LITCHI014858.m1	339	b758325df7ef1e77f6e2addb37b8e816	longest_CDS_then_lexicographic_transcript_ID
LITCHI014914	LITCHI014914.m1	502	d79489bc4c9fdc20b2de5c368f260dda	longest_CDS_then_lexicographic_transcript_ID
LITCHI015464	LITCHI015464.m1	526	4dce5a4a38e0f54d5191c244fbaa37fd	longest_CDS_then_lexicographic_transcript_ID
LITCHI015702	LITCHI015702.m1	301	00a725969346a17abf3f2fefd72c1698	longest_CDS_then_lexicographic_transcript_ID
LITCHI015740	LITCHI015740.m1	101	ea49e5ab102d4dcecc72fdfbed325301	longest_CDS_then_lexicographic_transcript_ID
LITCHI015950	LITCHI015950.m1	614	3ce266c3eebc76a887f90a59935e7b76	longest_CDS_then_lexicographic_transcript_ID
LITCHI015982	LITCHI015982.m1	380	1fe94b779df378c4871e04d359c79f65	longest_CDS_then_lexicographic_transcript_ID
LITCHI016077	LITCHI016077.m1	471	06a1dd9d83078343ff763fcbfd2b1486	longest_CDS_then_lexicographic_transcript_ID
LITCHI016297	LITCHI016297.m1	364	901959e052866cc8ca656e125d818fa1	longest_CDS_then_lexicographic_transcript_ID
LITCHI016340	LITCHI016340.m1	195	3a1ac93649233025e97e5f806912f1dc	longest_CDS_then_lexicographic_transcript_ID
LITCHI016395	LITCHI016395.m1	810	04607334ae68e47b6c861def40f88be6	longest_CDS_then_lexicographic_transcript_ID
LITCHI016580	LITCHI016580.m1	189	ed0664935218ed3ac3d233e7fd1a8d8c	longest_CDS_then_lexicographic_transcript_ID
LITCHI016665	LITCHI016665.m1	376	4724ce1480f965a1c9048814e264b0b2	longest_CDS_then_lexicographic_transcript_ID
LITCHI016846	LITCHI016846.m1	437	a9501835791458a7281525842a393f7e	longest_CDS_then_lexicographic_transcript_ID
LITCHI016911	LITCHI016911.m1	482	5263bf1b6d577dbd68d520b66ad144e5	longest_CDS_then_lexicographic_transcript_ID
LITCHI016917	LITCHI016917.m1	325	aba78eab52953f9d2e6265d9c64678b4	longest_CDS_then_lexicographic_transcript_ID
LITCHI016983	LITCHI016983.m1	662	ef25a6ede6ad659d9a695f6195e6497d	longest_CDS_then_lexicographic_transcript_ID
LITCHI016994	LITCHI016994.m1	645	78907ed9cde255b554c370181003987d	longest_CDS_then_lexicographic_transcript_ID
LITCHI017301	LITCHI017301.m3	915	b9decde93bcea6765fec4641174cdb79	longest_CDS_then_lexicographic_transcript_ID
LITCHI017310	LITCHI017310.m1	197	d406fa93c5b80195a034268da284a5e7	longest_CDS_then_lexicographic_transcript_ID
LITCHI017559	LITCHI017559.m1	107	ae76a2e5ba9b153380ccbd92de39251b	longest_CDS_then_lexicographic_transcript_ID
LITCHI017561	LITCHI017561.m1	184	282258b8fb31a7674b9b417be061b8ec	longest_CDS_then_lexicographic_transcript_ID
LITCHI017634	LITCHI017634.m1	477	69a367b962b7403d66559a7294b29665	longest_CDS_then_lexicographic_transcript_ID
LITCHI017733	LITCHI017733.m1	570	27cb585f250a527ab84cdf409146110b	longest_CDS_then_lexicographic_transcript_ID
LITCHI017753	LITCHI017753.m1	160	3aab708aee46488e057df01a4b16227d	longest_CDS_then_lexicographic_transcript_ID
LITCHI017862	LITCHI017862.m1	466	ee5689525ad146b3ce74ff9c4dd3ccbf	longest_CDS_then_lexicographic_transcript_ID
LITCHI017954	LITCHI017954.m1	434	159ad39b0e084f29cef4244aadb031e1	longest_CDS_then_lexicographic_transcript_ID
LITCHI018073	LITCHI018073.m1	169	52d6f6edcac37494d080f48af31837a7	longest_CDS_then_lexicographic_transcript_ID
LITCHI018309	LITCHI018309.m1	165	6e16ed3e748bcd64464ccdb02a83e1fb	longest_CDS_then_lexicographic_transcript_ID
LITCHI018384	LITCHI018384.m1	299	b54ba13dcf41b9a0f84b4110c564581e	longest_CDS_then_lexicographic_transcript_ID
LITCHI018512	LITCHI018512.m1	662	1378e149512b621be11224b60f37f141	longest_CDS_then_lexicographic_transcript_ID
LITCHI018722	LITCHI018722.m1	378	e2c7a8b74df28fe8caf001fe50376348	longest_CDS_then_lexicographic_transcript_ID
LITCHI019041	LITCHI019041.m2	966	39cbba478027b20271b359eef689f4a2	longest_CDS_then_lexicographic_transcript_ID
LITCHI019076	LITCHI019076.m1	78	19b0f60ea31382fc93228fd4fc2d8bd1	longest_CDS_then_lexicographic_transcript_ID
LITCHI019095	LITCHI019095.m4	196	55057da20d1019149906a3c82f475bae	longest_CDS_then_lexicographic_transcript_ID
LITCHI019186	LITCHI019186.m1	853	1418d5491541701af6754976bd3f1e40	longest_CDS_then_lexicographic_transcript_ID
LITCHI019319	LITCHI019319.m1	963	28b609501b2901ef6550a8e016707d3b	longest_CDS_then_lexicographic_transcript_ID
LITCHI019420	LITCHI019420.m1	790	339f80e472f546c5359de74aa2c168ad	longest_CDS_then_lexicographic_transcript_ID
LITCHI019626	LITCHI019626.m1	953	1ac198c0dcbdb031b366814b150644f0	longest_CDS_then_lexicographic_transcript_ID
LITCHI019664	LITCHI019664.m1	667	18109c1d2cf197814f561fd4e0b8c231	longest_CDS_then_lexicographic_transcript_ID
LITCHI019822	LITCHI019822.m1	325	b3a16cf4b8b7dc91162167ad1c274171	longest_CDS_then_lexicographic_transcript_ID
LITCHI019823	LITCHI019823.m1	327	c6fa2b6fb6017255837897ada692a393	longest_CDS_then_lexicographic_transcript_ID
LITCHI019824	LITCHI019824.m1	184	92604187058c58ac246e30fef721b15b	longest_CDS_then_lexicographic_transcript_ID
LITCHI019857	LITCHI019857.m2	643	28b295407a6576f29f2a90f3a3171d5d	longest_CDS_then_lexicographic_transcript_ID
LITCHI019897	LITCHI019897.m2	1076	bcb2a36e7386b5e5b560d0ee34a00275	longest_CDS_then_lexicographic_transcript_ID
LITCHI019913	LITCHI019913.m1	1277	997b5f2390a26b5da75e16969e039706	longest_CDS_then_lexicographic_transcript_ID
LITCHI020058	LITCHI020058.m4	513	245aaeb26e1538e56689f2da4b6ef788	longest_CDS_then_lexicographic_transcript_ID
LITCHI020557	LITCHI020557.m1	95	905240e9bc2e7bb97530400637c01b57	longest_CDS_then_lexicographic_transcript_ID
LITCHI020645	LITCHI020645.m1	368	137012be6e577db20d9d562c6a9814e3	longest_CDS_then_lexicographic_transcript_ID
LITCHI020862	LITCHI020862.m1	821	d53a189a86debc2b27868160999f1eec	longest_CDS_then_lexicographic_transcript_ID
LITCHI021120	LITCHI021120.m1	533	ed7b6b543314db641e20ead21fea476b	longest_CDS_then_lexicographic_transcript_ID
LITCHI021264	LITCHI021264.m1	78	39ee5228a4b950444c3552c032823ba9	longest_CDS_then_lexicographic_transcript_ID
LITCHI021309	LITCHI021309.m1	170	481395a78bcf278a56468acd331d6d4c	longest_CDS_then_lexicographic_transcript_ID
LITCHI021546	LITCHI021546.m2	1163	ca0f5e7fce946f96243180c79fb59d09	longest_CDS_then_lexicographic_transcript_ID
LITCHI021650	LITCHI021650.m3	273	e875b408e5e1159014b268085ec52ba4	longest_CDS_then_lexicographic_transcript_ID
LITCHI021828	LITCHI021828.m1	160	e20f0f14844bb8ec416f4158ac21254b	longest_CDS_then_lexicographic_transcript_ID
LITCHI021860	LITCHI021860.m1	582	072be087b77090ed70f79078b417ad93	longest_CDS_then_lexicographic_transcript_ID
LITCHI021914	LITCHI021914.m1	289	43edde0b46662ea8da5ef77faed92d59	longest_CDS_then_lexicographic_transcript_ID
LITCHI022018	LITCHI022018.m1	453	70ddae7a138c47efac0410d5d0ec5639	longest_CDS_then_lexicographic_transcript_ID
LITCHI022605	LITCHI022605.m1	882	ec96fec158224f253e22423b28bebd88	longest_CDS_then_lexicographic_transcript_ID
LITCHI022789	LITCHI022789.m1	245	7e5fcdb190ed9794ecc721cc8be0cdd0	longest_CDS_then_lexicographic_transcript_ID
LITCHI022817	LITCHI022817.m1	182	d3c94b2d65bf8e4fff3a39efb60dc1d6	longest_CDS_then_lexicographic_transcript_ID
LITCHI023078	LITCHI023078.m1	764	2044db48cdb4d1483e2905195f520a8a	longest_CDS_then_lexicographic_transcript_ID
LITCHI023108	LITCHI023108.m1	521	e26fc9f8327978a3c39376c1fe7888f0	longest_CDS_then_lexicographic_transcript_ID
LITCHI023124	LITCHI023124.m1	908	ab38013312e0566f4b107947ffdadc57	longest_CDS_then_lexicographic_transcript_ID
LITCHI023129	LITCHI023129.m1	1187	215a509849db0261805cf7b702f9abd3	longest_CDS_then_lexicographic_transcript_ID
LITCHI023296	LITCHI023296.m1	479	100eb01f660c620d3aa596e763347a46	longest_CDS_then_lexicographic_transcript_ID
LITCHI023464	LITCHI023464.m1	241	98df98234274fde94c0384d5b234697c	longest_CDS_then_lexicographic_transcript_ID
LITCHI023626	LITCHI023626.m1	167	1ff98f8cc66f41b59f38488a4ded7c5d	longest_CDS_then_lexicographic_transcript_ID
LITCHI024578	LITCHI024578.m1	327	75e7a28e9fc21b3a33b5f100ae92b118	longest_CDS_then_lexicographic_transcript_ID
LITCHI024820	LITCHI024820.m1	525	ae75a80f5a7fe9a11689ff7f27132465	longest_CDS_then_lexicographic_transcript_ID
LITCHI025047	LITCHI025047.m1	164	7f0f68256677c78cffc28abf0ab496a1	longest_CDS_then_lexicographic_transcript_ID
LITCHI025204	LITCHI025204.m2	226	d3cc5873054bdf6c6b2bedc3f0160cd8	longest_CDS_then_lexicographic_transcript_ID
LITCHI025238	LITCHI025238.m1	764	b820457bbea1d2b3eecc589f174e93e3	longest_CDS_then_lexicographic_transcript_ID
LITCHI025608	LITCHI025608.m1	1382	beb792b7bef05d6ee31c75e7d23df961	longest_CDS_then_lexicographic_transcript_ID
LITCHI025819	LITCHI025819.m1	244	2925bdbe31c579de8af6254e02f536f6	longest_CDS_then_lexicographic_transcript_ID
LITCHI025875	LITCHI025875.m1	300	aaec15ef67dc7a21c9942b2c368dc230	longest_CDS_then_lexicographic_transcript_ID
LITCHI026128	LITCHI026128.m2	198	76bf21e3e1241839fa32e33dcbf2f7b8	longest_CDS_then_lexicographic_transcript_ID
LITCHI026129	LITCHI026129.m1	288	777807b8bbe73051842b2372b1798832	longest_CDS_then_lexicographic_transcript_ID
LITCHI026181	LITCHI026181.m1	662	9d15687de795a531c6e5c3f9acfcae7e	longest_CDS_then_lexicographic_transcript_ID
LITCHI026900	LITCHI026900.m1	522	dcae4558f8bd9b8d813a8567bb3b5feb	longest_CDS_then_lexicographic_transcript_ID
LITCHI027034	LITCHI027034.m1	517	efea07a586fb38152060e15fb971f782	longest_CDS_then_lexicographic_transcript_ID
LITCHI027135	LITCHI027135.m1	380	b711a7853f3978d9e2bea77e22bbd1bb	longest_CDS_then_lexicographic_transcript_ID
LITCHI027173	LITCHI027173.m1	534	0c970b1a164d9746ff3b25959c394d3b	longest_CDS_then_lexicographic_transcript_ID
LITCHI027341	LITCHI027341.m2	293	83a10f8d0efb036e57ed7905f86c0e92	longest_CDS_then_lexicographic_transcript_ID
LITCHI027423	LITCHI027423.m1	435	15cc97ab5ccc0fea1011a692a87d8102	longest_CDS_then_lexicographic_transcript_ID
LITCHI027669	LITCHI027669.m1	725	75f25544706b0bc8de339225a21f0c29	longest_CDS_then_lexicographic_transcript_ID
LITCHI027763	LITCHI027763.m1	173	5e66f49011e3abf53938fc6bf700519d	longest_CDS_then_lexicographic_transcript_ID
LITCHI027783	LITCHI027783.m1	414	f29170a8d5a26bf4f31d5c9b67138145	longest_CDS_then_lexicographic_transcript_ID
LITCHI028081	LITCHI028081.m1	385	6f9c9ff87743fa7c721e0b78ef2ca13e	longest_CDS_then_lexicographic_transcript_ID
LITCHI028340	LITCHI028340.m1	228	301fe99278e43bbae42372067648c48c	longest_CDS_then_lexicographic_transcript_ID
LITCHI028428	LITCHI028428.m2	419	b0adc311a6e95ba7ac536180990a565d	longest_CDS_then_lexicographic_transcript_ID
LITCHI028584	LITCHI028584.m4	464	82889e2c6a7e2fa4d51978507d0845e2	longest_CDS_then_lexicographic_transcript_ID
LITCHI028716	LITCHI028716.m1	1626	682db0ce7104badc65bf4eec2f287ae1	longest_CDS_then_lexicographic_transcript_ID
LITCHI028717	LITCHI028717.m1	167	b7668c6958f0cf5c87318830860c65c2	longest_CDS_then_lexicographic_transcript_ID
LITCHI028799	LITCHI028799.m1	111	e62ced3a3534a209835c98e23a424146	longest_CDS_then_lexicographic_transcript_ID
LITCHI028926	LITCHI028926.m2	758	fb33f7f8fe4148b60d1e4f6b2b7f3812	longest_CDS_then_lexicographic_transcript_ID
LITCHI028928	LITCHI028928.m2	282	81c1fb1825564bbb628256f00e965217	longest_CDS_then_lexicographic_transcript_ID
LITCHI029020	LITCHI029020.m1	494	31866a4883b9c2b12da3759b4ff7e589	longest_CDS_then_lexicographic_transcript_ID
LITCHI029021	LITCHI029021.m1	449	6b01d1b8b0073a6105e9eac71979bc60	longest_CDS_then_lexicographic_transcript_ID
LITCHI029066	LITCHI029066.m1	365	6ee26936a8e879b51c2e699905c06f6f	longest_CDS_then_lexicographic_transcript_ID
LITCHI029373	LITCHI029373.m1	479	d4f1e3aba3b9865175d0b7a21949d4dd	longest_CDS_then_lexicographic_transcript_ID
LITCHI029443	LITCHI029443.m1	325	9751360b53be46cb32e3d8c8968a3315	longest_CDS_then_lexicographic_transcript_ID
LITCHI029495	LITCHI029495.m1	330	0badc531d7f1cc23737638d43ebec414	longest_CDS_then_lexicographic_transcript_ID
LITCHI029534	LITCHI029534.m1	359	3c1ee7dde1f44a3c38a6465b3923f93a	longest_CDS_then_lexicographic_transcript_ID
LITCHI029667	LITCHI029667.m1	745	bd36b8dab43e0636b61f2c2800803423	longest_CDS_then_lexicographic_transcript_ID
LITCHI029789	LITCHI029789.m1	227	fbf6422fbcd1548bd505e583d0cd2339	longest_CDS_then_lexicographic_transcript_ID
LITCHI030216	LITCHI030216.m1	805	a56c9df622da288a095a4f35b446e974	longest_CDS_then_lexicographic_transcript_ID
LITCHI030334	LITCHI030334.m1	605	0ed0189ff90b6e2b395626d25518752c	longest_CDS_then_lexicographic_transcript_ID
LITCHI030349	LITCHI030349.m3	1002	65e47336e9252de926c811e2ebb98953	longest_CDS_then_lexicographic_transcript_ID
LITCHI030441	LITCHI030441.m1	505	4d59b7fa75a7d54cca416240e617de0c	longest_CDS_then_lexicographic_transcript_ID
LITCHI030520	LITCHI030520.m1	934	3499cf7b85a7573ba91a43381b7daadb	longest_CDS_then_lexicographic_transcript_ID
LITCHI030689	LITCHI030689.m1	188	0803c9a73bd5f3c4cc4c6a62bc741012	longest_CDS_then_lexicographic_transcript_ID
LITCHI030690	LITCHI030690.m2	304	587ce56820c8176fd5e16d312b05ffe8	longest_CDS_then_lexicographic_transcript_ID
LITCHI030745	LITCHI030745.m1	609	d7e9119ab5e49db0ca3144a14317ca66	longest_CDS_then_lexicographic_transcript_ID
LITCHI030761	LITCHI030761.m1	329	f3baf2cffe7258fe36f509dcf6fc0911	longest_CDS_then_lexicographic_transcript_ID
LITCHI030763	LITCHI030763.m1	903	012d07179308ebaac2f3f4ed50d09aa4	longest_CDS_then_lexicographic_transcript_ID
LITCHI030858	LITCHI030858.m1	208	98f6cd887aaddd6b9e830383fa2cd72f	longest_CDS_then_lexicographic_transcript_ID
LITCHI030862	LITCHI030862.m1	240	ec2840003f2b3ef7d853efa521455127	longest_CDS_then_lexicographic_transcript_ID
LITCHI030869	LITCHI030869.m1	817	d2e69872f9bdae0ba068ec4302911c69	longest_CDS_then_lexicographic_transcript_ID
LITCHI031005	LITCHI031005.m1	801	fa3ee5512f073eda0842690a1f8a389d	longest_CDS_then_lexicographic_transcript_ID
LITCHI031010	LITCHI031010.m1	374	18bb2d59d2c2a2b985b15bcb74209fbc	longest_CDS_then_lexicographic_transcript_ID
LITCHI031097	LITCHI031097.m1	427	5dd83e68aad6bbd039bedf9c59a9f5f3	longest_CDS_then_lexicographic_transcript_ID
LITCHI031200	LITCHI031200.m1	334	6feef959f0c26aba8c28410b43787c9f	longest_CDS_then_lexicographic_transcript_ID
LITCHI031372	LITCHI031372.m1	425	ef26797c7ba5243fbf1e761b307ff5b5	longest_CDS_then_lexicographic_transcript_ID
LITCHI031448	LITCHI031448.m1	765	daa6c60ba66dc5fa5e773ded6920b53a	longest_CDS_then_lexicographic_transcript_ID
LITCHI031732	LITCHI031732.m1	538	19f2ab80f792529b16cd9280464dfe83	longest_CDS_then_lexicographic_transcript_ID
