gene_id	transcript_id	swissprot_accession	swissprot_description	percent_identity	alignment_length	query_length	subject_length	query_coverage	subject_coverage	evalue	bitscore	subject_id	subject_title
LITCHI030349	LITCHI030349.m3	Q8W4J9	Disease resistance protein RPP8	29.3	782	1002	908	0.780439121756487	0.8612334801762115	4.47e-60	225	sp|Q8W4J9|RPP8_ARATH	sp|Q8W4J9|RPP8_ARATH Disease resistance protein RPP8 OS=Arabidopsis thaliana OX=3702 GN=RPP8 PE=1 SV=2
LITCHI030349	LITCHI030349.m3	Q9FJK8	Probable disease resistance RPP8-like protein 4	29.2	784	1002	908	0.782435129740519	0.8634361233480177	5.80e-56	213	sp|Q9FJK8|RP8L4_ARATH	sp|Q9FJK8|RP8L4_ARATH Probable disease resistance RPP8-like protein 4 OS=Arabidopsis thaliana OX=3702 GN=RPP8L4 PE=2 SV=1
LITCHI019041	LITCHI019041.m2	Q8GZ99	Leucine-rich repeat receptor protein kinase HPCA1	54.9	963	966	953	0.9968944099378882	1.0104931794333682	2.43e-273	790	sp|Q8GZ99|HPCA1_ARATH	sp|Q8GZ99|HPCA1_ARATH Leucine-rich repeat receptor protein kinase HPCA1 OS=Arabidopsis thaliana OX=3702 GN=HPCA1 PE=1 SV=1
LITCHI019041	LITCHI019041.m2	Q9LT96	Probable leucine-rich repeat receptor-like protein kinase At5g49770	54.6	918	966	946	0.9503105590062112	0.9704016913319239	3.80e-236	694	sp|Q9LT96|Y5977_ARATH	sp|Q9LT96|Y5977_ARATH Probable leucine-rich repeat receptor-like protein kinase At5g49770 OS=Arabidopsis thaliana OX=3702 GN=At5g49770 PE=1 SV=1
LITCHI019041	LITCHI019041.m2	C0LGU1	Probable LRR receptor-like serine/threonine-protein kinase At5g37450	37.3	627	966	959	0.6490683229813664	0.6538060479666319	1.10e-106	357	sp|C0LGU1|Y5374_ARATH	sp|C0LGU1|Y5374_ARATH Probable LRR receptor-like serine/threonine-protein kinase At5g37450 OS=Arabidopsis thaliana OX=3702 GN=At5g37450 PE=1 SV=1
LITCHI019041	LITCHI019041.m2	C0LGD7	Probable LRR receptor-like serine/threonine-protein kinase At1g06840	39.1	563	966	953	0.582815734989648	0.5907660020986358	2.04e-95	326	sp|C0LGD7|Y1684_ARATH	sp|C0LGD7|Y1684_ARATH Probable LRR receptor-like serine/threonine-protein kinase At1g06840 OS=Arabidopsis thaliana OX=3702 GN=At1g06840 PE=1 SV=2
LITCHI019041	LITCHI019041.m2	Q9LFG1	Putative leucine-rich repeat receptor-like serine/threonine-protein kinase At3g53590	37.4	609	966	937	0.6304347826086957	0.6499466382070438	2.03e-94	323	sp|Q9LFG1|Y3359_ARATH	sp|Q9LFG1|Y3359_ARATH Putative leucine-rich repeat receptor-like serine/threonine-protein kinase At3g53590 OS=Arabidopsis thaliana OX=3702 GN=At3g53590 PE=1 SV=2
LITCHI019319	LITCHI019319.m1	Q8VWF8	DNA-directed RNA polymerase 2, chloroplastic/mitochondrial	75.1	991	963	1020	1.0290758047767394	0.9715686274509804	0.0	1474	sp|Q8VWF8|RPOT2_NICSY	sp|Q8VWF8|RPOT2_NICSY DNA-directed RNA polymerase 2, chloroplastic/mitochondrial OS=Nicotiana sylvestris OX=4096 GN=RPOT2 PE=2 SV=2
LITCHI019319	LITCHI019319.m1	Q8L6J3	DNA-directed RNA polymerase 2B, chloroplastic/mitochondrial	75.0	992	963	1021	1.0301142263759087	0.9715964740450539	0.0	1468	sp|Q8L6J3|RPO2B_TOBAC	sp|Q8L6J3|RPO2B_TOBAC DNA-directed RNA polymerase 2B, chloroplastic/mitochondrial OS=Nicotiana tabacum OX=4097 GN=RPOT2-TOM PE=2 SV=2
LITCHI019319	LITCHI019319.m1	Q8L6J5	DNA-directed RNA polymerase 1B, mitochondrial	76.9	900	963	1002	0.9345794392523364	0.8982035928143712	0.0	1405	sp|Q8L6J5|RPO1B_TOBAC	sp|Q8L6J5|RPO1B_TOBAC DNA-directed RNA polymerase 1B, mitochondrial OS=Nicotiana tabacum OX=4097 GN=RPOT1-TOM PE=2 SV=2
LITCHI019319	LITCHI019319.m1	Q93Y94	DNA-directed RNA polymerase 1, mitochondrial	77.4	892	963	1002	0.9262720664589823	0.8902195608782435	0.0	1401	sp|Q93Y94|RPOT1_NICSY	sp|Q93Y94|RPOT1_NICSY DNA-directed RNA polymerase 1, mitochondrial OS=Nicotiana sylvestris OX=4096 GN=RPOT1 PE=2 SV=1
LITCHI019319	LITCHI019319.m1	Q9LFV6	DNA-directed RNA polymerase 2, chloroplastic/mitochondrial	68.5	976	963	1011	1.0134994807892004	0.9653808110781404	0.0	1309	sp|Q9LFV6|RPOT2_ARATH	sp|Q9LFV6|RPOT2_ARATH DNA-directed RNA polymerase 2, chloroplastic/mitochondrial OS=Arabidopsis thaliana OX=3702 GN=RPOT2 PE=1 SV=1
LITCHI019626	LITCHI019626.m1	C0LGD7	Probable LRR receptor-like serine/threonine-protein kinase At1g06840	61.7	943	953	953	0.9895068205666316	0.9895068205666316	1.16e-253	739	sp|C0LGD7|Y1684_ARATH	sp|C0LGD7|Y1684_ARATH Probable LRR receptor-like serine/threonine-protein kinase At1g06840 OS=Arabidopsis thaliana OX=3702 GN=At1g06840 PE=1 SV=2
LITCHI019626	LITCHI019626.m1	Q9LFG1	Putative leucine-rich repeat receptor-like serine/threonine-protein kinase At3g53590	57.8	926	953	937	0.9716684155299056	0.9882604055496265	2.96e-223	660	sp|Q9LFG1|Y3359_ARATH	sp|Q9LFG1|Y3359_ARATH Putative leucine-rich repeat receptor-like serine/threonine-protein kinase At3g53590 OS=Arabidopsis thaliana OX=3702 GN=At3g53590 PE=1 SV=2
LITCHI019626	LITCHI019626.m1	C0LGU1	Probable LRR receptor-like serine/threonine-protein kinase At5g37450	52.6	957	953	959	1.0041972717733474	0.9979144942648592	1.75e-212	634	sp|C0LGU1|Y5374_ARATH	sp|C0LGU1|Y5374_ARATH Probable LRR receptor-like serine/threonine-protein kinase At5g37450 OS=Arabidopsis thaliana OX=3702 GN=At5g37450 PE=1 SV=1
LITCHI019626	LITCHI019626.m1	Q8GZ99	Leucine-rich repeat receptor protein kinase HPCA1	34.2	705	953	953	0.7397691500524659	0.7397691500524659	4.88e-91	313	sp|Q8GZ99|HPCA1_ARATH	sp|Q8GZ99|HPCA1_ARATH Leucine-rich repeat receptor protein kinase HPCA1 OS=Arabidopsis thaliana OX=3702 GN=HPCA1 PE=1 SV=1
LITCHI019626	LITCHI019626.m1	Q9LT96	Probable leucine-rich repeat receptor-like protein kinase At5g49770	39.7	506	953	946	0.5309548793284365	0.5348837209302325	2.36e-86	300	sp|Q9LT96|Y5977_ARATH	sp|Q9LT96|Y5977_ARATH Probable leucine-rich repeat receptor-like protein kinase At5g49770 OS=Arabidopsis thaliana OX=3702 GN=At5g49770 PE=1 SV=1
LITCHI001879	LITCHI001879.m1	Q9NW13	RNA-binding protein 28	33.4	737	951	759	0.7749737118822292	0.9710144927536232	1.61e-64	235	sp|Q9NW13|RBM28_HUMAN	sp|Q9NW13|RBM28_HUMAN RNA-binding protein 28 OS=Homo sapiens OX=9606 GN=RBM28 PE=1 SV=3
LITCHI001879	LITCHI001879.m1	Q8CGC6	RNA-binding protein 28	31.5	739	951	750	0.7770767613038907	0.9853333333333333	2.01e-60	223	sp|Q8CGC6|RBM28_MOUSE	sp|Q8CGC6|RBM28_MOUSE RNA-binding protein 28 OS=Mus musculus OX=10090 GN=Rbm28 PE=1 SV=4
LITCHI001879	LITCHI001879.m1	O74400	Uncharacterized RNA-binding protein C4F6.14	24.6	564	951	674	0.5930599369085173	0.8367952522255193	3.12e-18	93.6	sp|O74400|YOCE_SCHPO	sp|O74400|YOCE_SCHPO Uncharacterized RNA-binding protein C4F6.14 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=SPBC4F6.14 PE=1 SV=1
LITCHI030520	LITCHI030520.m1	F4J1H7	tRNAse Z TRZ4, mitochondrial	68.3	854	934	942	0.9143468950749465	0.9065817409766455	0.0	1129	sp|F4J1H7|RNZ4_ARATH	sp|F4J1H7|RNZ4_ARATH tRNAse Z TRZ4, mitochondrial OS=Arabidopsis thaliana OX=3702 GN=TRZ4 PE=2 SV=1
LITCHI030520	LITCHI030520.m1	Q8VYS2	tRNase Z TRZ3, mitochondrial	64.6	864	934	890	0.9250535331905781	0.9707865168539326	0.0	1076	sp|Q8VYS2|RNZ3_ARATH	sp|Q8VYS2|RNZ3_ARATH tRNase Z TRZ3, mitochondrial OS=Arabidopsis thaliana OX=3702 GN=TRZ3 PE=1 SV=1
LITCHI030520	LITCHI030520.m1	Q8HY87	Zinc phosphodiesterase ELAC protein 2	29.9	849	934	826	0.9089935760171306	1.0278450363196125	2.15e-89	306	sp|Q8HY87|RNZ2_MACFA	sp|Q8HY87|RNZ2_MACFA Zinc phosphodiesterase ELAC protein 2 OS=Macaca fascicularis OX=9541 GN=ELAC2 PE=2 SV=1
LITCHI030520	LITCHI030520.m1	Q80Y81	Zinc phosphodiesterase ELAC protein 2	30.4	849	934	831	0.9089935760171306	1.0216606498194947	2.38e-89	306	sp|Q80Y81|RNZ2_MOUSE	sp|Q80Y81|RNZ2_MOUSE Zinc phosphodiesterase ELAC protein 2 OS=Mus musculus OX=10090 GN=Elac2 PE=1 SV=1
LITCHI030520	LITCHI030520.m1	Q9BQ52	Zinc phosphodiesterase ELAC protein 2	29.1	848	934	826	0.9079229122055674	1.026634382566586	7.89e-89	304	sp|Q9BQ52|RNZ2_HUMAN	sp|Q9BQ52|RNZ2_HUMAN Zinc phosphodiesterase ELAC protein 2 OS=Homo sapiens OX=9606 GN=ELAC2 PE=1 SV=2
LITCHI005518	LITCHI005518.m1	Q9S7Y7	Alpha-xylosidase 1	77.2	913	924	915	0.9880952380952381	0.9978142076502732	0.0	1493	sp|Q9S7Y7|XYL1_ARATH	sp|Q9S7Y7|XYL1_ARATH Alpha-xylosidase 1 OS=Arabidopsis thaliana OX=3702 GN=XYL1 PE=1 SV=1
LITCHI005518	LITCHI005518.m1	F4J6T7	Putative alpha-xylosidase 2	68.0	917	924	868	0.9924242424242424	1.0564516129032258	0.0	1269	sp|F4J6T7|XYL2_ARATH	sp|F4J6T7|XYL2_ARATH Putative alpha-xylosidase 2 OS=Arabidopsis thaliana OX=3702 GN=XYL2 PE=5 SV=1
LITCHI005518	LITCHI005518.m1	Q653V7	Probable alpha-glucosidase Os06g0675700	48.6	866	924	885	0.9372294372294372	0.9785310734463277	2.12e-283	811	sp|Q653V7|AGLU_ORYSJ	sp|Q653V7|AGLU_ORYSJ Probable alpha-glucosidase Os06g0675700 OS=Oryza sativa subsp. japonica OX=39947 GN=Os06g0675700 PE=1 SV=1
LITCHI005518	LITCHI005518.m1	O04893	Alpha-glucosidase	45.3	923	924	903	0.9989177489177489	1.0221483942414176	1.15e-279	803	sp|O04893|AGLU_SPIOL	sp|O04893|AGLU_SPIOL Alpha-glucosidase OS=Spinacia oleracea OX=3562 PE=1 SV=1
LITCHI005518	LITCHI005518.m1	Q43763	Alpha-glucosidase	45.2	888	924	877	0.961038961038961	1.0125427594070695	2.58e-266	768	sp|Q43763|AGLU_HORVU	sp|Q43763|AGLU_HORVU Alpha-glucosidase OS=Hordeum vulgare OX=4513 PE=2 SV=1
LITCHI017301	LITCHI017301.m3	A0A3Q7HJG4	Cuscuta receptor 1	40.2	764	915	1121	0.8349726775956284	0.6815343443354148	1.62e-51	200	sp|A0A3Q7HJG4|CURE1_SOLLC	sp|A0A3Q7HJG4|CURE1_SOLLC Cuscuta receptor 1 OS=Solanum lycopersicum OX=4081 GN=Solyc08g016270 PE=1 SV=1
LITCHI017301	LITCHI017301.m3	F4HTV4	Receptor-like protein 14	32.5	1004	915	976	1.0972677595628415	1.028688524590164	1.73e-28	127	sp|F4HTV4|RLP14_ARATH	sp|F4HTV4|RLP14_ARATH Receptor-like protein 14 OS=Arabidopsis thaliana OX=3702 GN=RLP14 PE=3 SV=1
LITCHI017301	LITCHI017301.m3	F4K4T3	Receptor-like protein 56	36.3	993	915	947	1.0852459016393443	1.0485744456177402	7.47e-16	86.3	sp|F4K4T3|RLP56_ARATH	sp|F4K4T3|RLP56_ARATH Receptor-like protein 56 OS=Arabidopsis thaliana OX=3702 GN=RLP56 PE=2 SV=2
LITCHI023124	LITCHI023124.m1	Q9FHB6	Protein DETOXIFICATION 16	69.7	469	908	486	0.5165198237885462	0.9650205761316872	1.08e-220	635	sp|Q9FHB6|DTX16_ARATH	sp|Q9FHB6|DTX16_ARATH Protein DETOXIFICATION 16 OS=Arabidopsis thaliana OX=3702 GN=DTX16 PE=2 SV=1
LITCHI023124	LITCHI023124.m1	F4HPH1	Protein DETOXIFICATION 22	35.3	464	908	494	0.5110132158590308	0.9392712550607287	2.56e-78	266	sp|F4HPH1|DTX22_ARATH	sp|F4HPH1|DTX22_ARATH Protein DETOXIFICATION 22 OS=Arabidopsis thaliana OX=3702 GN=DTX22 PE=2 SV=1
LITCHI023124	LITCHI023124.m1	Q9USK3	Uncharacterized transporter C4B3.13	33.5	486	908	539	0.5352422907488987	0.9016697588126159	3.05e-77	265	sp|Q9USK3|YJ2D_SCHPO	sp|Q9USK3|YJ2D_SCHPO Uncharacterized transporter C4B3.13 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=SPCC4B3.13 PE=3 SV=1
LITCHI023124	LITCHI023124.m1	F4HPH2	Protein DETOXIFICATION 20	34.2	479	908	491	0.5275330396475771	0.9755600814663951	8.37e-75	256	sp|F4HPH2|DTX20_ARATH	sp|F4HPH2|DTX20_ARATH Protein DETOXIFICATION 20 OS=Arabidopsis thaliana OX=3702 GN=DTX20 PE=3 SV=1
LITCHI023124	LITCHI023124.m1	Q8RXK1	Protein DETOXIFICATION 23	33.1	474	908	494	0.5220264317180616	0.9595141700404858	4.23e-71	246	sp|Q8RXK1|DTX23_ARATH	sp|Q8RXK1|DTX23_ARATH Protein DETOXIFICATION 23 OS=Arabidopsis thaliana OX=3702 GN=DTX23 PE=2 SV=1
LITCHI030763	LITCHI030763.m1	Q8RXS5	Probable disease resistance protein At5g63020	40.6	909	903	888	1.0066445182724253	1.0236486486486487	3.93e-205	610	sp|Q8RXS5|DRL40_ARATH	sp|Q8RXS5|DRL40_ARATH Probable disease resistance protein At5g63020 OS=Arabidopsis thaliana OX=3702 GN=At5g63020 PE=2 SV=2
LITCHI030763	LITCHI030763.m1	O64973	Disease resistance protein RPS5	41.7	904	903	889	1.0011074197120708	1.0168728908886389	4.44e-201	600	sp|O64973|RPS5_ARATH	sp|O64973|RPS5_ARATH Disease resistance protein RPS5 OS=Arabidopsis thaliana OX=3702 GN=RPS5 PE=1 SV=2
LITCHI030763	LITCHI030763.m1	P60839	Probable disease resistance protein At1g12290	40.3	905	903	884	1.0022148394241417	1.0237556561085972	6.00e-200	597	sp|P60839|DRL2_ARATH	sp|P60839|DRL2_ARATH Probable disease resistance protein At1g12290 OS=Arabidopsis thaliana OX=3702 GN=At1g12290 PE=3 SV=1
LITCHI030763	LITCHI030763.m1	O82484	Putative disease resistance protein At4g10780	40.4	911	903	892	1.008859357696567	1.0213004484304933	3.38e-198	593	sp|O82484|DRL23_ARATH	sp|O82484|DRL23_ARATH Putative disease resistance protein At4g10780 OS=Arabidopsis thaliana OX=3702 GN=At4g10780 PE=3 SV=1
LITCHI030763	LITCHI030763.m1	P60838	Disease resistance protein SUMM2	41.3	907	903	894	1.0044296788482836	1.0145413870246085	2.48e-195	585	sp|P60838|SUMM2_ARATH	sp|P60838|SUMM2_ARATH Disease resistance protein SUMM2 OS=Arabidopsis thaliana OX=3702 GN=SUMM2 PE=1 SV=1
LITCHI013915	LITCHI013915.m1	D2WL32	1,4-alpha-glucan-branching enzyme 3, chloroplastic/amyloplastic	73.5	904	900	899	1.0044444444444445	1.0055617352614015	0.0	1382	sp|D2WL32|GLGB3_ARATH	sp|D2WL32|GLGB3_ARATH 1,4-alpha-glucan-branching enzyme 3, chloroplastic/amyloplastic OS=Arabidopsis thaliana OX=3702 GN=SBE3 PE=1 SV=1
LITCHI013915	LITCHI013915.m1	Q8NKE1	1,4-alpha-glucan-branching enzyme	42.4	576	900	683	0.64	0.8433382137628112	9.26e-155	473	sp|Q8NKE1|GLGB_RHIID	sp|Q8NKE1|GLGB_RHIID 1,4-alpha-glucan-branching enzyme OS=Rhizophagus irregularis (strain DAOM 181602 / DAOM 197198 / MUCL 43194) OX=747089 GN=GLC3 PE=2 SV=2
LITCHI013915	LITCHI013915.m1	Q9D6Y9	1,4-alpha-glucan-branching enzyme	42.7	569	900	702	0.6322222222222222	0.8105413105413105	1.44e-148	458	sp|Q9D6Y9|GLGB_MOUSE	sp|Q9D6Y9|GLGB_MOUSE 1,4-alpha-glucan-branching enzyme OS=Mus musculus OX=10090 GN=Gbe1 PE=1 SV=1
LITCHI013915	LITCHI013915.m1	Q6T308	1,4-alpha-glucan-branching enzyme	43.3	531	900	699	0.59	0.759656652360515	1.85e-148	457	sp|Q6T308|GLGB_FELCA	sp|Q6T308|GLGB_FELCA 1,4-alpha-glucan-branching enzyme OS=Felis catus OX=9685 GN=GBE1 PE=2 SV=1
