gene_id	canonical_transcript_id	protein_length	protein_md5	selection_rule	swissprot_accession	swissprot_description	swissprot_percent_identity	swissprot_query_coverage	swissprot_subject_coverage	swissprot_evalue	rice_ortholog_accession	rice_query_coverage	rice_subject_coverage	sequence_evidence_classes_70pct	interpro_status	architecture_conflict	annotation_status
LITCHI002263	LITCHI002263.m1	86	e1cc6de57ed38904d8db7c1e897d64c2	longest_CDS_then_lexicographic_transcript_ID										0	PENDING_TARGETED_QUERY	NOT_EVALUATED	UNANNOTATED_INTERPRO_PENDING
LITCHI002571	LITCHI002571.m1	186	836ce6a3dea0a0eb910d9e9d3d270343	longest_CDS_then_lexicographic_transcript_ID	Q9FFD5	CRIB domain-containing protein RIC4	45.7	0.8709677419354839	1.0588235294117647	1.90e-31				1	PENDING_TARGETED_QUERY	NOT_EVALUATED	FAMILY_LEVEL_SEQUENCE_SUPPORT_INTERPRO_PENDING
LITCHI003414	LITCHI003414.m1	477	bc5ba388341ad889d3b1fd6e547336b4	longest_CDS_then_lexicographic_transcript_ID	Q6NKW9	Glucan endo-1,3-beta-glucosidase 8	76.7	0.9454926624737946	0.9376299376299376	1.16e-260	Q852K4	0.931000	0.904000	2	PENDING_TARGETED_QUERY	NOT_EVALUATED	PROVISIONAL_TWO_SEQUENCE_CLASSES_INTERPRO_PENDING
LITCHI003497	LITCHI003497.m1	887	42b78bf9c4601b1d47bd8292cc7f6b96	longest_CDS_then_lexicographic_transcript_ID										0	PENDING_TARGETED_QUERY	NOT_EVALUATED	UNANNOTATED_INTERPRO_PENDING
LITCHI003742	LITCHI003742.m1	708	c5ff78074f3ce3079e72163f815f28c4	longest_CDS_then_lexicographic_transcript_ID	Q9ZVN2	Phytyl ester synthase 1, chloroplastic	65.7	0.9194915254237288	0.9247159090909091	2.22e-309	A0A0P0V2Z4	0.895000	0.915000	2	PENDING_TARGETED_QUERY	NOT_EVALUATED	PROVISIONAL_TWO_SEQUENCE_CLASSES_INTERPRO_PENDING
LITCHI004207	LITCHI004207.m2	230	0c3a9e014ac5d22c6d51f3b710ddf54a	longest_CDS_then_lexicographic_transcript_ID	Q84J78	Single-stranded DNA-binding protein, mitochondrial	67.9	0.8130434782608695	0.9303482587064676	2.73e-81				1	PENDING_TARGETED_QUERY	NOT_EVALUATED	FAMILY_LEVEL_SEQUENCE_SUPPORT_INTERPRO_PENDING
LITCHI004438	LITCHI004438.m1	431	13e7dd3ed8a3ea1ee9c72886fc6bc649	longest_CDS_then_lexicographic_transcript_ID	Q9ZSL6	RNA polymerase sigma factor sigD, chloroplastic	57.2	0.6937354988399071	0.7136038186157518	3.40e-104				0	PENDING_TARGETED_QUERY	NOT_EVALUATED	UNANNOTATED_INTERPRO_PENDING
LITCHI004751	LITCHI004751.m2	376	1394520435427a030624ed16782c935a	longest_CDS_then_lexicographic_transcript_ID										0	PENDING_TARGETED_QUERY	NOT_EVALUATED	UNANNOTATED_INTERPRO_PENDING
LITCHI004929	LITCHI004929.m2	191	532b5178d15bbf57682cae17f47d7966	longest_CDS_then_lexicographic_transcript_ID	P51823	ADP-ribosylation factor 2	98.9	0.9424083769633508	0.994475138121547	1.80e-127				1	PENDING_TARGETED_QUERY	NOT_EVALUATED	FAMILY_LEVEL_SEQUENCE_SUPPORT_INTERPRO_PENDING
LITCHI005008	LITCHI005008.m1	152	4022e9164230bec675f400a82efc6bf8	longest_CDS_then_lexicographic_transcript_ID	Q93VR4	MLP-like protein 423	61.6	0.993421052631579	0.9741935483870968	6.90e-68	Q7XUY5	0.961000	0.975000	2	PENDING_TARGETED_QUERY	NOT_EVALUATED	PROVISIONAL_TWO_SEQUENCE_CLASSES_INTERPRO_PENDING
LITCHI005012	LITCHI005012.m1	446	5c5c9ce82d5a6fcc3bdf2fa5e82a4a21	longest_CDS_then_lexicographic_transcript_ID	B9HJR7	Xyloglucan O-acetyltransferase 1	71.4	0.9798206278026906	1.0186480186480187	6.90e-246	Q67V91	0.783000	0.769000	2	PENDING_TARGETED_QUERY	NOT_EVALUATED	PROVISIONAL_TWO_SEQUENCE_CLASSES_INTERPRO_PENDING
LITCHI005048	LITCHI005048.m1	1184	757f8fa79700c5a5367bc41e9322e896	longest_CDS_then_lexicographic_transcript_ID	B9DFG3	DExH-box ATP-dependent RNA helicase DExH15 chloroplastic	72.5	0.9206081081081081	0.9308283518360376	0.0	Q6Z5P0	0.890000	0.888000	2	PENDING_TARGETED_QUERY	NOT_EVALUATED	PROVISIONAL_TWO_SEQUENCE_CLASSES_INTERPRO_PENDING
LITCHI005234	LITCHI005234.m1	217	0220a0ff89c56b0424de9e0c64623e3c	longest_CDS_then_lexicographic_transcript_ID										0	PENDING_TARGETED_QUERY	NOT_EVALUATED	UNANNOTATED_INTERPRO_PENDING
LITCHI005254	LITCHI005254.m2	463	6d8079460197b7d5c7909f33cc3c2312	longest_CDS_then_lexicographic_transcript_ID	Q9SS43	Xylan glycosyltransferase MUCI21	37.8	0.8682505399568035	0.8137651821862348	1.01e-88				1	PENDING_TARGETED_QUERY	NOT_EVALUATED	FAMILY_LEVEL_SEQUENCE_SUPPORT_INTERPRO_PENDING
LITCHI005454	LITCHI005454.m1	103	6d307206b41886d4aa2c066c08ac5caa	longest_CDS_then_lexicographic_transcript_ID										0	PENDING_TARGETED_QUERY	NOT_EVALUATED	UNANNOTATED_INTERPRO_PENDING
LITCHI005518	LITCHI005518.m1	924	29c1bb685ab3240b222a858f5fbd579d	longest_CDS_then_lexicographic_transcript_ID	Q9S7Y7	Alpha-xylosidase 1	77.2	0.9880952380952381	0.9978142076502732	0.0	Q0JQZ2	0.990000	0.976000	2	PENDING_TARGETED_QUERY	NOT_EVALUATED	PROVISIONAL_TWO_SEQUENCE_CLASSES_INTERPRO_PENDING
LITCHI005805	LITCHI005805.m1	594	fc59235c84a00f39be941484206191f8	longest_CDS_then_lexicographic_transcript_ID	Q88BD4	Phosphomannomutase/phosphoglucomutase	28.1	0.6296296296296297	0.8043010752688172	5.68e-34	A0A0P0WWN5	0.894000	0.891000	1	PENDING_TARGETED_QUERY	NOT_EVALUATED	FAMILY_LEVEL_SEQUENCE_SUPPORT_INTERPRO_PENDING
LITCHI005866	LITCHI005866.m1	633	f78fe3e847a29d62f1decadb5e9ed8f2	longest_CDS_then_lexicographic_transcript_ID	Q9C9W9	Adagio protein 3	83.6	0.9225908372827805	0.9434571890145396	0.0	Q2R2W1	0.900000	0.895000	2	PENDING_TARGETED_QUERY	NOT_EVALUATED	PROVISIONAL_TWO_SEQUENCE_CLASSES_INTERPRO_PENDING
LITCHI006337	LITCHI006337.m1	97	0e147b64303e0eb8e037a56123c460a5	longest_CDS_then_lexicographic_transcript_ID										0	PENDING_TARGETED_QUERY	NOT_EVALUATED	UNANNOTATED_INTERPRO_PENDING
LITCHI006466	LITCHI006466.m2	294	6160951234a14109b10416dc969894c0	longest_CDS_then_lexicographic_transcript_ID	A0A1P8B554	Thaumatin-like protein 1	60.0	0.7993197278911565	0.9038461538461539	5.14e-97	Q10P75	0.895000	0.828000	2	PENDING_TARGETED_QUERY	NOT_EVALUATED	PROVISIONAL_TWO_SEQUENCE_CLASSES_INTERPRO_PENDING
LITCHI006481	LITCHI006481.m1	199	fcf87716d2eb05835203245baab65c61	longest_CDS_then_lexicographic_transcript_ID										0	PENDING_TARGETED_QUERY	NOT_EVALUATED	UNANNOTATED_INTERPRO_PENDING
LITCHI006703	LITCHI006703.m1	358	f84592d019bb07477fcec5cbd6032480	longest_CDS_then_lexicographic_transcript_ID	Q9LN68	Probable galacturonosyltransferase-like 1	74.2	0.9189944134078212	0.9373219373219374	4.14e-182				1	PENDING_TARGETED_QUERY	NOT_EVALUATED	FAMILY_LEVEL_SEQUENCE_SUPPORT_INTERPRO_PENDING
LITCHI006920	LITCHI006920.m1	196	ab64dc25ecd59b620706ac38b1b283ad	longest_CDS_then_lexicographic_transcript_ID	Q42551	SUMO-conjugating enzyme SCE1	70.9	1.0	1.225	3.53e-101				1	PENDING_TARGETED_QUERY	NOT_EVALUATED	FAMILY_LEVEL_SEQUENCE_SUPPORT_INTERPRO_PENDING
LITCHI006923	LITCHI006923.m1	666	cba798e7ca325bb9a9a962e63443cd11	longest_CDS_then_lexicographic_transcript_ID	Q93Y06	Probable inactive receptor kinase At5g67200	65.7	0.996996996996997	0.992526158445441	1.29e-254	A0A0P0WFL8	0.928000	0.876000	2	PENDING_TARGETED_QUERY	NOT_EVALUATED	PROVISIONAL_TWO_SEQUENCE_CLASSES_INTERPRO_PENDING
LITCHI007095	LITCHI007095.m1	299	107cc1405500a8eb2851f9c676424be1	longest_CDS_then_lexicographic_transcript_ID	O81004	GTP-binding protein At2g22870	80.2	0.842809364548495	0.84	2.70e-155	Q10PJ0	0.793000	0.748000	2	PENDING_TARGETED_QUERY	NOT_EVALUATED	PROVISIONAL_TWO_SEQUENCE_CLASSES_INTERPRO_PENDING
LITCHI007293	LITCHI007293.m1	289	57964a81bc29fb709301e33dea77185a	longest_CDS_then_lexicographic_transcript_ID										0	PENDING_TARGETED_QUERY	NOT_EVALUATED	UNANNOTATED_INTERPRO_PENDING
LITCHI007341	LITCHI007341.m1	96	211e4d7c3beea04e87810ec00134975b	longest_CDS_then_lexicographic_transcript_ID										0	PENDING_TARGETED_QUERY	NOT_EVALUATED	UNANNOTATED_INTERPRO_PENDING
LITCHI007955	LITCHI007955.m1	183	641ddab50ff31f8968b1253b325a97f2	longest_CDS_then_lexicographic_transcript_ID	O65660	PLAT domain-containing protein 1	66.9	0.8415300546448088	0.850828729281768	5.73e-76	Q6ZGP5	0.754000	0.715000	2	PENDING_TARGETED_QUERY	NOT_EVALUATED	PROVISIONAL_TWO_SEQUENCE_CLASSES_INTERPRO_PENDING
LITCHI008095	LITCHI008095.m1	662	74a41871a643815508ba30e05e5f3888	longest_CDS_then_lexicographic_transcript_ID	Q9LP77	Probable inactive receptor kinase At1g48480	57.7	0.9561933534743202	0.966412213740458	4.00e-170				1	PENDING_TARGETED_QUERY	NOT_EVALUATED	FAMILY_LEVEL_SEQUENCE_SUPPORT_INTERPRO_PENDING
LITCHI008313	LITCHI008313.m1	516	bd3486a21b12c828e7e61d9b6781dfbf	longest_CDS_then_lexicographic_transcript_ID	Q9LV33	Beta-glucosidase 44	74.3	0.9186046511627907	0.92578125	2.37e-273				1	PENDING_TARGETED_QUERY	NOT_EVALUATED	FAMILY_LEVEL_SEQUENCE_SUPPORT_INTERPRO_PENDING
LITCHI008330	LITCHI008330.m1	142	0e6e6c081fd7ca6a336f5ecaad4c0700	longest_CDS_then_lexicographic_transcript_ID										0	PENDING_TARGETED_QUERY	NOT_EVALUATED	UNANNOTATED_INTERPRO_PENDING
LITCHI008721	LITCHI008721.m1	136	be3eff7e2d97fb61b26cdeb15af35038	longest_CDS_then_lexicographic_transcript_ID										0	PENDING_TARGETED_QUERY	NOT_EVALUATED	UNANNOTATED_INTERPRO_PENDING
LITCHI008817	LITCHI008817.m1	562	b14f625120e37bc27c9a66967ea50fdc	longest_CDS_then_lexicographic_transcript_ID	Q9SS43	Xylan glycosyltransferase MUCI21	61.3	0.7686832740213523	0.8744939271255061	2.26e-174	Q5VNI5	0.776000	0.765000	2	PENDING_TARGETED_QUERY	NOT_EVALUATED	PROVISIONAL_TWO_SEQUENCE_CLASSES_INTERPRO_PENDING
LITCHI008905	LITCHI008905.m1	776	2e31226882ba17ee4198292ec081e079	longest_CDS_then_lexicographic_transcript_ID	Q94A08	Probable galactinol--sucrose galactosyltransferase 2	80.7	1.0	1.0038809831824063	0.0	Q6ZLJ9	1.000000	1.000000	2	PENDING_TARGETED_QUERY	NOT_EVALUATED	PROVISIONAL_TWO_SEQUENCE_CLASSES_INTERPRO_PENDING
LITCHI009437	LITCHI009437.m1	181	c987c1d818d5c4f1bf1ed3e6df7e1eb6	longest_CDS_then_lexicographic_transcript_ID	Q9LTD9	Uncharacterized protein PAM68-like	43.3	0.7403314917127072	0.7976190476190477	1.93e-33				1	PENDING_TARGETED_QUERY	NOT_EVALUATED	FAMILY_LEVEL_SEQUENCE_SUPPORT_INTERPRO_PENDING
LITCHI009639	LITCHI009639.m1	493	4bc498cfccc6c990619ac8e96ffb4e0a	longest_CDS_then_lexicographic_transcript_ID	Q9CA34	Probable xyloglucan galactosyltransferase GT17	61.5	0.8052738336713996	0.8725274725274725	4.07e-175				1	PENDING_TARGETED_QUERY	NOT_EVALUATED	FAMILY_LEVEL_SEQUENCE_SUPPORT_INTERPRO_PENDING
LITCHI009696	LITCHI009696.m1	841	d7ef18d9284d5a51c729d5205710fe59	longest_CDS_then_lexicographic_transcript_ID	F4IDJ0	Nucleolar complex-associated protein 3	61.6	0.9774078478002378	0.9903614457831326	5.64e-307	Q656B0	0.945000	0.941000	2	PENDING_TARGETED_QUERY	NOT_EVALUATED	PROVISIONAL_TWO_SEQUENCE_CLASSES_INTERPRO_PENDING
LITCHI010138	LITCHI010138.m5	356	42456efd8bc4a5977b0383e71f972db6	longest_CDS_then_lexicographic_transcript_ID	Q8LE10	HVA22-like protein i	56.5	0.9747191011235955	1.1722972972972974	2.46e-94				1	PENDING_TARGETED_QUERY	NOT_EVALUATED	FAMILY_LEVEL_SEQUENCE_SUPPORT_INTERPRO_PENDING
LITCHI010273	LITCHI010273.m1	306	26da5de00a292c0f1784b39b1e41092e	longest_CDS_then_lexicographic_transcript_ID	B2WSN1	Eugenol synthase 1	82.8	0.9901960784313726	0.9837662337662337	1.08e-181	A0A0P0WWN3	0.993000	0.968000	2	PENDING_TARGETED_QUERY	NOT_EVALUATED	PROVISIONAL_TWO_SEQUENCE_CLASSES_INTERPRO_PENDING
LITCHI010325	LITCHI010325.m1	181	84ce8d7240e30bfa4c5f891f54a4c45c	longest_CDS_then_lexicographic_transcript_ID										0	PENDING_TARGETED_QUERY	NOT_EVALUATED	UNANNOTATED_INTERPRO_PENDING
LITCHI010434	LITCHI010434.m1	608	68703a5e6f76616d756ad379038265eb	longest_CDS_then_lexicographic_transcript_ID	Q8KPU2	tRNA modification GTPase MnmE	44.3	0.8569078947368421	1.1277056277056277	4.87e-131	Q6Z9X4	0.855000	0.844000	2	PENDING_TARGETED_QUERY	NOT_EVALUATED	PROVISIONAL_TWO_SEQUENCE_CLASSES_INTERPRO_PENDING
LITCHI010541	LITCHI010541.m1	351	81dab19ab288a4df988414c3a1aa1312	longest_CDS_then_lexicographic_transcript_ID	O82161	Protein PHOSPHATE-INDUCED 1	58.8	0.8575498575498576	0.9616613418530351	4.11e-116	Q0DXF4	0.823000	0.896000	2	PENDING_TARGETED_QUERY	NOT_EVALUATED	PROVISIONAL_TWO_SEQUENCE_CLASSES_INTERPRO_PENDING
LITCHI010704	LITCHI010704.m1	332	61ff1d52f8b591132917b4c465ac84e6	longest_CDS_then_lexicographic_transcript_ID							A0A0P0XYL5	0.819000	0.734000	1	PENDING_TARGETED_QUERY	NOT_EVALUATED	FAMILY_LEVEL_SEQUENCE_SUPPORT_INTERPRO_PENDING
LITCHI010765	LITCHI010765.m2	314	5a4a84a3909d654d5260b187236e3329	longest_CDS_then_lexicographic_transcript_ID	P46604	Homeobox-leucine zipper protein HAT22	50.1	1.0668789808917198	1.2050359712230216	4.34e-77				1	PENDING_TARGETED_QUERY	NOT_EVALUATED	FAMILY_LEVEL_SEQUENCE_SUPPORT_INTERPRO_PENDING
LITCHI010845	LITCHI010845.m1	421	8790dcbd681a958028daf04571dcdb4d	longest_CDS_then_lexicographic_transcript_ID										0	PENDING_TARGETED_QUERY	NOT_EVALUATED	UNANNOTATED_INTERPRO_PENDING
LITCHI010877	LITCHI010877.m1	737	952482a7d433f0441a53c095d6b6e90e	longest_CDS_then_lexicographic_transcript_ID	W8JMU7	Cytochrome P450 81Q32	51.6	0.6445047489823609	0.9519038076152304	7.52e-171				0	PENDING_TARGETED_QUERY	NOT_EVALUATED	UNANNOTATED_INTERPRO_PENDING
LITCHI010987	LITCHI010987.m1	256	5f13669acf00b765d1f530e13adad224	longest_CDS_then_lexicographic_transcript_ID	Q8L8T7	Cold-regulated protein 27	44.1	0.796875	0.8292682926829268	9.31e-33	Q10QT4	0.797000	0.816000	2	PENDING_TARGETED_QUERY	NOT_EVALUATED	PROVISIONAL_TWO_SEQUENCE_CLASSES_INTERPRO_PENDING
LITCHI011122	LITCHI011122.m1	353	5c0b2e9b095b40c4ef7537b690dd52e5	longest_CDS_then_lexicographic_transcript_ID										0	PENDING_TARGETED_QUERY	NOT_EVALUATED	UNANNOTATED_INTERPRO_PENDING
LITCHI011195	LITCHI011195.m1	133	25f8078c4990c450a6a030e5f76b474e	longest_CDS_then_lexicographic_transcript_ID										0	PENDING_TARGETED_QUERY	NOT_EVALUATED	UNANNOTATED_INTERPRO_PENDING
LITCHI011255	LITCHI011255.m1	1463	f98db181265c4ce5cc2d1972a24b9bdc	longest_CDS_then_lexicographic_transcript_ID										0	PENDING_TARGETED_QUERY	NOT_EVALUATED	UNANNOTATED_INTERPRO_PENDING
LITCHI011424	LITCHI011424.m1	193	b394e58e77c5c13bab9372972af07e93	longest_CDS_then_lexicographic_transcript_ID	Q5XH16	NHP2-like protein 1	53.4	1.0	1.5078125	6.97e-56				1	PENDING_TARGETED_QUERY	NOT_EVALUATED	FAMILY_LEVEL_SEQUENCE_SUPPORT_INTERPRO_PENDING
LITCHI011520	LITCHI011520.m1	1171	99b7a3a58594e490e2328913db4aa5d1	longest_CDS_then_lexicographic_transcript_ID	Q9SQI2	Protein GIGANTEA	77.3	1.005123825789923	1.0034100596760442	0.0	Q9AWL7	0.999000	0.999000	2	PENDING_TARGETED_QUERY	NOT_EVALUATED	PROVISIONAL_TWO_SEQUENCE_CLASSES_INTERPRO_PENDING
LITCHI011536	LITCHI011536.m1	641	85c9c68aaf636006a4df1afcd2499807	longest_CDS_then_lexicographic_transcript_ID	Q56X76	DEAD-box ATP-dependent RNA helicase 39	72.1	0.8564742589703588	0.8840579710144928	7.53e-260	Q5VRY0	0.754000	0.768000	2	PENDING_TARGETED_QUERY	NOT_EVALUATED	PROVISIONAL_TWO_SEQUENCE_CLASSES_INTERPRO_PENDING
LITCHI011959	LITCHI011959.m1	309	9e32985bcc841a30a360aa3773740d19	longest_CDS_then_lexicographic_transcript_ID	P20593	Interferon-induced GTP-binding protein Mx (Fragment)	27.2	0.5954692556634305	0.6112956810631229	5.50e-10				0	PENDING_TARGETED_QUERY	NOT_EVALUATED	UNANNOTATED_INTERPRO_PENDING
LITCHI012432	LITCHI012432.m1	469	fa4f68f84cc087f71b64fd97d1bf37a0	longest_CDS_then_lexicographic_transcript_ID	Q9ASW3	Protein IQ-DOMAIN 21	50.7	0.9957356076759062	0.9915074309978769	7.37e-84				1	PENDING_TARGETED_QUERY	NOT_EVALUATED	FAMILY_LEVEL_SEQUENCE_SUPPORT_INTERPRO_PENDING
LITCHI012815	LITCHI012815.m1	229	748157be25750fd8af1f254c690a92b8	longest_CDS_then_lexicographic_transcript_ID										0	PENDING_TARGETED_QUERY	NOT_EVALUATED	UNANNOTATED_INTERPRO_PENDING
LITCHI013088	LITCHI013088.m1	441	840fddc61e132f079bd0af8710a459a1	longest_CDS_then_lexicographic_transcript_ID	Q9T081	UDP-glycosyltransferase 79B3	53.0	0.9841269841269841	0.9580573951434879	2.87e-161				1	PENDING_TARGETED_QUERY	NOT_EVALUATED	FAMILY_LEVEL_SEQUENCE_SUPPORT_INTERPRO_PENDING
LITCHI013276	LITCHI013276.m1	118	e9d511f619d8d9b92e120dfeae517199	longest_CDS_then_lexicographic_transcript_ID	Q9LSQ6	Calcium-binding protein PBP1	65.2	0.7796610169491526	0.7244094488188977	3.85e-36				1	PENDING_TARGETED_QUERY	NOT_EVALUATED	FAMILY_LEVEL_SEQUENCE_SUPPORT_INTERPRO_PENDING
LITCHI013379	LITCHI013379.m1	83	c7917ba1fd226be08204c3e6398cb0d8	longest_CDS_then_lexicographic_transcript_ID										0	PENDING_TARGETED_QUERY	NOT_EVALUATED	UNANNOTATED_INTERPRO_PENDING
LITCHI013895	LITCHI013895.m1	255	8fd9b6b2e2640d78638f6192742693b9	longest_CDS_then_lexicographic_transcript_ID	Q9SXS8	Ethylene-responsive transcription factor 3	56.3	1.0235294117647058	1.16	1.07e-75				1	PENDING_TARGETED_QUERY	NOT_EVALUATED	FAMILY_LEVEL_SEQUENCE_SUPPORT_INTERPRO_PENDING
LITCHI013915	LITCHI013915.m1	900	7cccb15b38dd51abfb43b4071c7af416	longest_CDS_then_lexicographic_transcript_ID	D2WL32	1,4-alpha-glucan-branching enzyme 3, chloroplastic/amyloplastic	73.5	1.0044444444444445	1.0055617352614015	0.0	Q5VN31	0.920000	0.916000	2	PENDING_TARGETED_QUERY	NOT_EVALUATED	PROVISIONAL_TWO_SEQUENCE_CLASSES_INTERPRO_PENDING
LITCHI013925	LITCHI013925.m1	591	7ffe26f96674c860e335a3e756b6f257	longest_CDS_then_lexicographic_transcript_ID	Q9SZ30	Imidazole glycerol phosphate synthase hisHF, chloroplastic	81.0	1.0	0.9983108108108109	0.0	Q10NW0	0.922000	0.954000	2	PENDING_TARGETED_QUERY	NOT_EVALUATED	PROVISIONAL_TWO_SEQUENCE_CLASSES_INTERPRO_PENDING
LITCHI014256	LITCHI014256.m1	489	59c3568b06f4d09085877931064e1204	longest_CDS_then_lexicographic_transcript_ID	Q9SQU6	Pentatricopeptide repeat-containing protein At3g06430, chloroplastic	73.4	0.9856850715746421	0.9917695473251029	1.76e-147	Q10MG3	0.861000	0.926000	2	PENDING_TARGETED_QUERY	NOT_EVALUATED	PROVISIONAL_TWO_SEQUENCE_CLASSES_INTERPRO_PENDING
LITCHI014400	LITCHI014400.m1	97	fb58bd2c7d2df8c8a1435b599f99ac49	longest_CDS_then_lexicographic_transcript_ID										0	PENDING_TARGETED_QUERY	NOT_EVALUATED	UNANNOTATED_INTERPRO_PENDING
LITCHI014480	LITCHI014480.m1	1311	5b5f8939d69b9b7526babf4f00e033c5	longest_CDS_then_lexicographic_transcript_ID	C6L7U1	Putative E3 ubiquitin-protein ligase LIN-1	25.9	0.6422578184591915	0.567003367003367	4.82e-76	A0A0P0WLE2	0.744000	0.943000	1	PENDING_TARGETED_QUERY	NOT_EVALUATED	FAMILY_LEVEL_SEQUENCE_SUPPORT_INTERPRO_PENDING
LITCHI014613	LITCHI014613.m1	486	ed04f5868380c97530bd049d047f21d4	longest_CDS_then_lexicographic_transcript_ID	Q8LBI9	Sugar transporter ERD6-like 16	72.5	0.9958847736625515	1.004149377593361	2.95e-247	A0A0P0Y4V5	0.909000	0.957000	2	PENDING_TARGETED_QUERY	NOT_EVALUATED	PROVISIONAL_TWO_SEQUENCE_CLASSES_INTERPRO_PENDING
LITCHI014624	LITCHI014624.m1	196	baf1b7f474e3be3b3cf015542b8f4fbc	longest_CDS_then_lexicographic_transcript_ID										0	PENDING_TARGETED_QUERY	NOT_EVALUATED	UNANNOTATED_INTERPRO_PENDING
LITCHI014759	LITCHI014759.m2	694	4e1ee7788d1d07d27d8f5129e3d1a8c7	longest_CDS_then_lexicographic_transcript_ID	Q8LPS1	Long chain acyl-CoA synthetase 6, peroxisomal	80.5	0.984149855907781	0.9743223965763196	0.0	Q2QXT1	0.981000	0.963000	2	PENDING_TARGETED_QUERY	NOT_EVALUATED	PROVISIONAL_TWO_SEQUENCE_CLASSES_INTERPRO_PENDING
LITCHI014813	LITCHI014813.m1	683	b3c4375a46ac3ae3a914e1b05238bb62	longest_CDS_then_lexicographic_transcript_ID	Q0WSH6	Pentatricopeptide repeat-containing protein At4g14850	68.1	1.0087847730600292	1.0073099415204678	0.0	Q2R217	0.993000	0.980000	2	PENDING_TARGETED_QUERY	NOT_EVALUATED	PROVISIONAL_TWO_SEQUENCE_CLASSES_INTERPRO_PENDING
