gene_id	contig	strand	tss_1based	window_bp	start_0based	end_0based	sequence_length	fraction_non_n	gc_fraction	mean_normalized_count	uniform_gene_qc_status	frozen_gene
LITCHI000013	HOST_Chr5	-	199188	1000	199188	200188	1000	1.0	0.4	nan	PASS	False
LITCHI000013	HOST_Chr5	-	199188	2000	199188	201188	2000	1.0	0.4065	nan	PASS	False
LITCHI000014	HOST_Chr5	-	200595	1000	200595	201595	1000	1.0	0.396	12.754362772167378	FAIL	False
LITCHI000014	HOST_Chr5	-	200595	2000	200595	202595	2000	1.0	0.387	12.754362772167378	FAIL	False
LITCHI000015	HOST_Chr5	+	224179	1000	223178	224178	1000	1.0	0.272	nan	FAIL	False
LITCHI000015	HOST_Chr5	+	224179	2000	222178	224178	2000	1.0	0.323	nan	FAIL	False
LITCHI000016	HOST_Chr5	-	228167	1000	228167	229167	1000	1.0	0.417	20.994661241243485	FAIL	False
LITCHI000016	HOST_Chr5	-	228167	2000	228167	230167	2000	1.0	0.4005	20.994661241243485	FAIL	False
LITCHI000017	HOST_Chr5	+	235010	1000	234009	235009	1000	1.0	0.271	nan	FAIL	False
LITCHI000017	HOST_Chr5	+	235010	2000	233009	235009	2000	1.0	0.2845	nan	FAIL	False
LITCHI000018	HOST_Chr5	-	242681	1000	242681	243681	1000	1.0	0.355	nan	FAIL	False
LITCHI000018	HOST_Chr5	-	242681	2000	242681	244681	2000	1.0	0.3075	nan	FAIL	False
LITCHI000019	HOST_Chr5	+	247065	1000	246064	247064	1000	1.0	0.327	nan	FAIL	False
LITCHI000019	HOST_Chr5	+	247065	2000	245064	247064	2000	1.0	0.29	nan	FAIL	False
LITCHI000020	HOST_Chr5	+	270872	1000	269871	270871	1000	1.0	0.298	nan	PASS	False
LITCHI000020	HOST_Chr5	+	270872	2000	268871	270871	2000	1.0	0.26	nan	PASS	False
LITCHI000021	HOST_Chr5	-	279950	1000	279950	280950	1000	1.0	0.202	19.32921740855982	FAIL	False
LITCHI000021	HOST_Chr5	-	279950	2000	279950	281950	2000	1.0	0.275	19.32921740855982	FAIL	False
LITCHI000022	HOST_Chr5	-	305671	1000	305671	306671	1000	1.0	0.401	10.868923187657476	FAIL	False
LITCHI000022	HOST_Chr5	-	305671	2000	305671	307671	2000	1.0	0.4065	10.868923187657476	FAIL	False
LITCHI000023	HOST_Chr5	-	307106	1000	307106	308106	1000	1.0	0.392	14.697159166469467	FAIL	False
LITCHI000023	HOST_Chr5	-	307106	2000	307106	309106	2000	1.0	0.387	14.697159166469467	FAIL	False
LITCHI000024	HOST_Chr5	-	390607	1000	390607	391607	1000	1.0	0.257	102.17196732048718	FAIL	False
LITCHI000024	HOST_Chr5	-	390607	2000	390607	392607	2000	1.0	0.296	102.17196732048718	FAIL	False
LITCHI000025	HOST_Chr5	+	398294	1000	397293	398293	1000	1.0	0.283	4.112955457212643	PASS	False
LITCHI000025	HOST_Chr5	+	398294	2000	396293	398293	2000	1.0	0.2765	4.112955457212643	PASS	False
LITCHI000026	HOST_Chr5	-	408944	1000	408944	409944	1000	1.0	0.381	45.574730589876715	FAIL	False
LITCHI000026	HOST_Chr5	-	408944	2000	408944	410944	2000	1.0	0.3455	45.574730589876715	FAIL	False
LITCHI000027	HOST_Chr5	+	429097	1000	428096	429096	1000	1.0	0.328	3.5764948989344094	PASS	False
LITCHI000027	HOST_Chr5	+	429097	2000	427096	429096	2000	1.0	0.3185	3.5764948989344094	PASS	False
LITCHI000028	HOST_Chr5	+	449133	1000	448132	449132	1000	1.0	0.321	nan	FAIL	False
LITCHI000028	HOST_Chr5	+	449133	2000	447132	449132	2000	1.0	0.288	nan	FAIL	False
LITCHI000029	HOST_Chr5	+	499981	1000	498980	499980	1000	1.0	0.418	nan	FAIL	False
LITCHI000029	HOST_Chr5	+	499981	2000	497980	499980	2000	1.0	0.3595	nan	FAIL	False
LITCHI000030	HOST_Chr5	+	569195	1000	568194	569194	1000	1.0	0.413	313.0811367885011	PASS	False
LITCHI000030	HOST_Chr5	+	569195	2000	567194	569194	2000	1.0	0.3965	313.0811367885011	PASS	False
LITCHI000031	HOST_Chr5	-	657818	1000	657818	658818	1000	1.0	0.305	nan	PASS	False
LITCHI000031	HOST_Chr5	-	657818	2000	657818	659818	2000	1.0	0.2365	nan	PASS	False
LITCHI000032	HOST_Chr5	-	662183	1000	662183	663183	1000	1.0	0.306	nan	PASS	False
LITCHI000032	HOST_Chr5	-	662183	2000	662183	664183	2000	1.0	0.2775	nan	PASS	False
LITCHI000033	HOST_Chr5	-	678788	1000	678788	679788	1000	1.0	0.305	nan	PASS	False
LITCHI000033	HOST_Chr5	-	678788	2000	678788	680788	2000	1.0	0.359	nan	PASS	False
LITCHI000034	HOST_Chr5	-	711202	1000	711202	712202	1000	1.0	0.246	8.886538294840674	PASS	False
LITCHI000034	HOST_Chr5	-	711202	2000	711202	713202	2000	1.0	0.286	8.886538294840674	PASS	False
LITCHI000035	HOST_Chr5	+	730109	1000	729108	730108	1000	1.0	0.337	37.899089103190114	PASS	False
LITCHI000035	HOST_Chr5	+	730109	2000	728108	730108	2000	1.0	0.3895	37.899089103190114	PASS	False
LITCHI000036	HOST_Chr5	+	742048	1000	741047	742047	1000	1.0	0.361	nan	PASS	False
LITCHI000036	HOST_Chr5	+	742048	2000	740047	742047	2000	1.0	0.3345	nan	PASS	False
LITCHI000037	HOST_Chr5	+	773107	1000	772106	773106	1000	1.0	0.283	nan	PASS	False
LITCHI000037	HOST_Chr5	+	773107	2000	771106	773106	2000	1.0	0.2775	nan	PASS	False
LITCHI000038	HOST_Chr5	+	776463	1000	775462	776462	1000	1.0	0.32	131.2314100720399	PASS	False
LITCHI000038	HOST_Chr5	+	776463	2000	774462	776462	2000	1.0	0.3335	131.2314100720399	PASS	False
LITCHI000039	HOST_Chr5	-	938734	1000	938734	939734	1000	1.0	0.295	nan	PASS	False
LITCHI000039	HOST_Chr5	-	938734	2000	938734	940734	2000	1.0	0.326	nan	PASS	False
LITCHI000040	HOST_Chr5	+	939761	1000	938760	939760	1000	1.0	0.295	nan	PASS	False
LITCHI000040	HOST_Chr5	+	939761	2000	937760	939760	2000	1.0	0.31	nan	PASS	False
LITCHI000041	HOST_Chr5	+	993647	1000	992646	993646	1000	1.0	0.226	nan	PASS	False
LITCHI000041	HOST_Chr5	+	993647	2000	991646	993646	2000	1.0	0.2475	nan	PASS	False
LITCHI000042	HOST_Chr5	-	1046270	1000	1046270	1047270	1000	1.0	0.419	nan	PASS	False
LITCHI000042	HOST_Chr5	-	1046270	2000	1046270	1048270	2000	1.0	0.3655	nan	PASS	False
LITCHI000043	HOST_Chr5	-	1072643	1000	1072643	1073643	1000	1.0	0.343	nan	PASS	False
LITCHI000043	HOST_Chr5	-	1072643	2000	1072643	1074643	2000	1.0	0.3275	nan	PASS	False
LITCHI000044	HOST_Chr5	+	1080541	1000	1079540	1080540	1000	1.0	0.234	nan	PASS	False
LITCHI000044	HOST_Chr5	+	1080541	2000	1078540	1080540	2000	1.0	0.253	nan	PASS	False
LITCHI000045	HOST_Chr5	-	1090404	1000	1090404	1091404	1000	1.0	0.402	nan	PASS	False
LITCHI000045	HOST_Chr5	-	1090404	2000	1090404	1092404	2000	1.0	0.3935	nan	PASS	False
LITCHI000046	HOST_Chr5	+	1292688	1000	1291687	1292687	1000	1.0	0.395	nan	PASS	False
LITCHI000046	HOST_Chr5	+	1292688	2000	1290687	1292687	2000	1.0	0.3435	nan	PASS	False
LITCHI000047	HOST_Chr5	+	1349860	1000	1348859	1349859	1000	1.0	0.251	92.19941366034354	FAIL	False
LITCHI000047	HOST_Chr5	+	1349860	2000	1347859	1349859	2000	1.0	0.2645	92.19941366034354	FAIL	False
LITCHI000048	HOST_Chr5	+	1823856	1000	1822855	1823855	1000	1.0	0.395	24.36103674657972	FAIL	False
LITCHI000048	HOST_Chr5	+	1823856	2000	1821855	1823855	2000	1.0	0.39	24.36103674657972	FAIL	False
LITCHI000049	HOST_Chr5	+	1825168	1000	1824167	1825167	1000	1.0	0.392	14.954843914443327	FAIL	False
LITCHI000049	HOST_Chr5	+	1825168	2000	1823167	1825167	2000	1.0	0.405	14.954843914443327	FAIL	False
LITCHI000050	HOST_Chr5	+	1875774	1000	1874773	1875773	1000	1.0	0.279	7.067561767219027	FAIL	False
LITCHI000050	HOST_Chr5	+	1875774	2000	1873773	1875773	2000	1.0	0.2735	7.067561767219027	FAIL	False
LITCHI000051	HOST_Chr5	+	1879257	1000	1878256	1879256	1000	1.0	0.377	5.919680134742354	PASS	False
LITCHI000051	HOST_Chr5	+	1879257	2000	1877256	1879256	2000	1.0	0.397	5.919680134742354	PASS	False
LITCHI000052	HOST_Chr5	-	1888330	1000	1888330	1889330	1000	1.0	0.278	nan	PASS	False
LITCHI000052	HOST_Chr5	-	1888330	2000	1888330	1890330	2000	1.0	0.256	nan	PASS	False
LITCHI000053	HOST_Chr5	+	1892735	1000	1891734	1892734	1000	1.0	0.301	nan	FAIL	False
LITCHI000053	HOST_Chr5	+	1892735	2000	1890734	1892734	2000	1.0	0.277	nan	FAIL	False
LITCHI000054	HOST_Chr5	-	1899180	1000	1899180	1900180	1000	1.0	0.314	216.4529705520541	FAIL	False
LITCHI000054	HOST_Chr5	-	1899180	2000	1899180	1901180	2000	1.0	0.3075	216.4529705520541	FAIL	False
LITCHI000055	HOST_Chr5	+	1905604	1000	1904603	1905603	1000	1.0	0.238	93.96058456004869	PASS	False
LITCHI000055	HOST_Chr5	+	1905604	2000	1903603	1905603	2000	1.0	0.254	93.96058456004869	PASS	False
LITCHI000056	HOST_Chr5	+	1912989	1000	1911988	1912988	1000	1.0	0.371	14.285601889722434	PASS	False
LITCHI000056	HOST_Chr5	+	1912989	2000	1910988	1912988	2000	1.0	0.3565	14.285601889722434	PASS	False
LITCHI000057	HOST_Chr5	+	1930270	1000	1929269	1930269	1000	1.0	0.305	nan	PASS	False
LITCHI000057	HOST_Chr5	+	1930270	2000	1928269	1930269	2000	1.0	0.2955	nan	PASS	False
LITCHI000058	HOST_Chr5	+	1951603	1000	1950602	1951602	1000	1.0	0.271	nan	PASS	False
LITCHI000058	HOST_Chr5	+	1951603	2000	1949602	1951602	2000	1.0	0.286	nan	PASS	False
LITCHI000059	HOST_Chr5	+	1990453	1000	1989452	1990452	1000	1.0	0.339	50.47842705998995	PASS	False
LITCHI000059	HOST_Chr5	+	1990453	2000	1988452	1990452	2000	1.0	0.3025	50.47842705998995	PASS	False
LITCHI000060	HOST_Chr5	+	2015581	1000	2014580	2015580	1000	1.0	0.342	nan	PASS	False
LITCHI000060	HOST_Chr5	+	2015581	2000	2013580	2015580	2000	1.0	0.318	nan	PASS	False
LITCHI000061	HOST_Chr5	+	2027459	1000	2026458	2027458	1000	1.0	0.31	111.36635953846404	PASS	False
LITCHI000061	HOST_Chr5	+	2027459	2000	2025458	2027458	2000	1.0	0.278	111.36635953846404	PASS	False
LITCHI000062	HOST_Chr5	+	2037727	1000	2036726	2037726	1000	1.0	0.277	35.0026640493535	PASS	False
LITCHI000062	HOST_Chr5	+	2037727	2000	2035726	2037726	2000	1.0	0.311	35.0026640493535	PASS	False
LITCHI000063	HOST_Chr5	-	2051171	1000	2051171	2052171	1000	1.0	0.325	nan	PASS	False
LITCHI000063	HOST_Chr5	-	2051171	2000	2051171	2053171	2000	1.0	0.3345	nan	PASS	False
LITCHI000064	HOST_Chr5	-	2076950	1000	2076950	2077950	1000	1.0	0.324	nan	PASS	False
LITCHI000064	HOST_Chr5	-	2076950	2000	2076950	2078950	2000	1.0	0.3095	nan	PASS	False
LITCHI000065	HOST_Chr5	+	2092511	1000	2091510	2092510	1000	1.0	0.219	nan	PASS	False
LITCHI000065	HOST_Chr5	+	2092511	2000	2090510	2092510	2000	1.0	0.23	nan	PASS	False
LITCHI000066	HOST_Chr5	+	2095586	1000	2094585	2095585	1000	1.0	0.319	22.255460834943065	FAIL	False
LITCHI000066	HOST_Chr5	+	2095586	2000	2093585	2095585	2000	1.0	0.2935	22.255460834943065	FAIL	False
LITCHI000067	HOST_Chr5	+	2097680	1000	2096679	2097679	1000	1.0	0.386	nan	PASS	False
LITCHI000067	HOST_Chr5	+	2097680	2000	2095679	2097679	2000	1.0	0.374	nan	PASS	False
LITCHI000068	HOST_Chr5	-	2121119	1000	2121119	2122119	1000	1.0	0.31	nan	FAIL	False
LITCHI000068	HOST_Chr5	-	2121119	2000	2121119	2123119	2000	1.0	0.265	nan	FAIL	False
LITCHI000069	HOST_Chr5	-	2168087	1000	2168087	2169087	1000	1.0	0.245	nan	FAIL	False
LITCHI000069	HOST_Chr5	-	2168087	2000	2168087	2170087	2000	1.0	0.285	nan	FAIL	False
LITCHI000070	HOST_Chr5	+	2196655	1000	2195654	2196654	1000	1.0	0.331	nan	FAIL	False
LITCHI000070	HOST_Chr5	+	2196655	2000	2194654	2196654	2000	1.0	0.346	nan	FAIL	False
LITCHI000071	HOST_Chr5	+	2200844	1000	2199843	2200843	1000	1.0	0.264	nan	FAIL	False
LITCHI000071	HOST_Chr5	+	2200844	2000	2198843	2200843	2000	1.0	0.261	nan	FAIL	False
LITCHI000072	HOST_Chr5	+	2225384	1000	2224383	2225383	1000	1.0	0.236	119.0375803376887	FAIL	False
LITCHI000072	HOST_Chr5	+	2225384	2000	2223383	2225383	2000	1.0	0.2475	119.0375803376887	FAIL	False
LITCHI000073	HOST_Chr5	-	2254052	1000	2254052	2255052	1000	1.0	0.308	nan	FAIL	False
LITCHI000073	HOST_Chr5	-	2254052	2000	2254052	2256052	2000	1.0	0.261	nan	FAIL	False
LITCHI000074	HOST_Chr5	-	2258983	1000	2258983	2259983	1000	1.0	0.329	nan	PASS	False
LITCHI000074	HOST_Chr5	-	2258983	2000	2258983	2260983	2000	1.0	0.3045	nan	PASS	False
LITCHI000075	HOST_Chr5	+	2277856	1000	2276855	2277855	1000	1.0	0.361	nan	PASS	False
LITCHI000075	HOST_Chr5	+	2277856	2000	2275855	2277855	2000	1.0	0.327	nan	PASS	False
LITCHI000076	HOST_Chr5	+	2279003	1000	2278002	2279002	1000	1.0	0.443	nan	PASS	False
LITCHI000076	HOST_Chr5	+	2279003	2000	2277002	2279002	2000	1.0	0.4075	nan	PASS	False
LITCHI000077	HOST_Chr5	+	2300797	1000	2299796	2300796	1000	1.0	0.349	nan	FAIL	False
LITCHI000077	HOST_Chr5	+	2300797	2000	2298796	2300796	2000	1.0	0.338	nan	FAIL	False
LITCHI000078	HOST_Chr5	+	2313092	1000	2312091	2313091	1000	1.0	0.274	nan	FAIL	False
LITCHI000078	HOST_Chr5	+	2313092	2000	2311091	2313091	2000	1.0	0.2955	nan	FAIL	False
LITCHI000079	HOST_Chr5	+	2324040	1000	2323039	2324039	1000	1.0	0.246	17.429712793809312	FAIL	False
LITCHI000079	HOST_Chr5	+	2324040	2000	2322039	2324039	2000	1.0	0.2445	17.429712793809312	FAIL	False
LITCHI000080	HOST_Chr5	+	2330291	1000	2329290	2330290	1000	1.0	0.318	nan	PASS	False
LITCHI000080	HOST_Chr5	+	2330291	2000	2328290	2330290	2000	1.0	0.3275	nan	PASS	False
LITCHI000081	HOST_Chr5	-	2342183	1000	2342183	2343183	1000	1.0	0.309	nan	FAIL	False
LITCHI000081	HOST_Chr5	-	2342183	2000	2342183	2344183	2000	1.0	0.303	nan	FAIL	False
LITCHI000082	HOST_Chr5	-	2346640	1000	2346640	2347640	1000	1.0	0.235	nan	FAIL	False
LITCHI000082	HOST_Chr5	-	2346640	2000	2346640	2348640	2000	1.0	0.2895	nan	FAIL	False
LITCHI000083	HOST_Chr5	+	2356886	1000	2355885	2356885	1000	1.0	0.258	nan	FAIL	False
LITCHI000083	HOST_Chr5	+	2356886	2000	2354885	2356885	2000	1.0	0.2995	nan	FAIL	False
LITCHI000084	HOST_Chr5	+	2373995	1000	2372994	2373994	1000	1.0	0.336	nan	PASS	False
LITCHI000084	HOST_Chr5	+	2373995	2000	2371994	2373994	2000	1.0	0.289	nan	PASS	False
LITCHI000085	HOST_Chr5	+	2377797	1000	2376796	2377796	1000	1.0	0.266	nan	FAIL	False
LITCHI000085	HOST_Chr5	+	2377797	2000	2375796	2377796	2000	1.0	0.264	nan	FAIL	False
LITCHI000086	HOST_Chr5	+	2392956	1000	2391955	2392955	1000	1.0	0.334	nan	PASS	False
LITCHI000086	HOST_Chr5	+	2392956	2000	2390955	2392955	2000	1.0	0.2625	nan	PASS	False
LITCHI000087	HOST_Chr5	+	2402780	1000	2401779	2402779	1000	1.0	0.326	nan	PASS	False
LITCHI000087	HOST_Chr5	+	2402780	2000	2400779	2402779	2000	1.0	0.3155	nan	PASS	False
LITCHI000088	HOST_Chr5	+	2406399	1000	2405398	2406398	1000	1.0	0.269	nan	FAIL	False
LITCHI000088	HOST_Chr5	+	2406399	2000	2404398	2406398	2000	1.0	0.273	nan	FAIL	False
LITCHI000089	HOST_Chr5	-	2451281	1000	2451281	2452281	1000	1.0	0.378	nan	FAIL	False
LITCHI000089	HOST_Chr5	-	2451281	2000	2451281	2453281	2000	1.0	0.3415	nan	FAIL	False
LITCHI000090	HOST_Chr5	-	2460964	1000	2460964	2461964	1000	1.0	0.364	nan	PASS	False
LITCHI000090	HOST_Chr5	-	2460964	2000	2460964	2462964	2000	1.0	0.3205	nan	PASS	False
LITCHI000091	HOST_Chr5	+	2475818	1000	2474817	2475817	1000	1.0	0.269	nan	PASS	False
LITCHI000091	HOST_Chr5	+	2475818	2000	2473817	2475817	2000	1.0	0.287	nan	PASS	False
LITCHI000092	HOST_Chr5	-	2509287	1000	2509287	2510287	1000	1.0	0.204	344.71099294347806	PASS	False
LITCHI000092	HOST_Chr5	-	2509287	2000	2509287	2511287	2000	1.0	0.2225	344.71099294347806	PASS	False
LITCHI000093	HOST_Chr5	+	2511554	1000	2510553	2511553	1000	1.0	0.239	nan	PASS	False
LITCHI000093	HOST_Chr5	+	2511554	2000	2509553	2511553	2000	1.0	0.2325	nan	PASS	False
LITCHI000094	HOST_Chr5	-	2531670	1000	2531670	2532670	1000	1.0	0.334	nan	PASS	False
LITCHI000094	HOST_Chr5	-	2531670	2000	2531670	2533670	2000	1.0	0.299	nan	PASS	False
LITCHI000095	HOST_Chr5	+	2531831	1000	2530830	2531830	1000	1.0	0.33	nan	PASS	False
LITCHI000095	HOST_Chr5	+	2531831	2000	2529830	2531830	2000	1.0	0.3025	nan	PASS	False
LITCHI000096	HOST_Chr5	-	2535168	1000	2535168	2536168	1000	1.0	0.244	nan	PASS	False
LITCHI000096	HOST_Chr5	-	2535168	2000	2535168	2537168	2000	1.0	0.273	nan	PASS	False
LITCHI000097	HOST_Chr5	-	2562393	1000	2562393	2563393	1000	1.0	0.298	nan	PASS	False
LITCHI000097	HOST_Chr5	-	2562393	2000	2562393	2564393	2000	1.0	0.2725	nan	PASS	False
LITCHI000098	HOST_Chr5	+	2570783	1000	2569782	2570782	1000	1.0	0.291	nan	PASS	False
LITCHI000098	HOST_Chr5	+	2570783	2000	2568782	2570782	2000	1.0	0.2685	nan	PASS	False
LITCHI000099	HOST_Chr5	-	2573464	1000	2573464	2574464	1000	1.0	0.262	nan	PASS	False
LITCHI000099	HOST_Chr5	-	2573464	2000	2573464	2575464	2000	1.0	0.2815	nan	PASS	False
LITCHI000100	HOST_Chr5	-	2599617	1000	2599617	2600617	1000	1.0	0.353	nan	PASS	False
LITCHI000100	HOST_Chr5	-	2599617	2000	2599617	2601617	2000	1.0	0.2725	nan	PASS	False
LITCHI000101	HOST_Chr5	-	2639712	1000	2639712	2640712	1000	1.0	0.422	nan	PASS	False
LITCHI000101	HOST_Chr5	-	2639712	2000	2639712	2641712	2000	1.0	0.3395	nan	PASS	False
LITCHI000102	HOST_Chr5	-	2651327	1000	2651327	2652327	1000	1.0	0.298	nan	PASS	False
LITCHI000102	HOST_Chr5	-	2651327	2000	2651327	2653327	2000	1.0	0.331	nan	PASS	False
LITCHI000103	HOST_Chr5	-	2653486	1000	2653486	2654486	1000	1.0	0.319	nan	FAIL	False
LITCHI000103	HOST_Chr5	-	2653486	2000	2653486	2655486	2000	1.0	0.2815	nan	FAIL	False
LITCHI000104	HOST_Chr5	-	2661928	1000	2661928	2662928	1000	1.0	0.234	nan	PASS	False
LITCHI000104	HOST_Chr5	-	2661928	2000	2661928	2663928	2000	1.0	0.2845	nan	PASS	False
LITCHI000105	HOST_Chr5	-	2674268	1000	2674268	2675268	1000	1.0	0.389	nan	PASS	False
LITCHI000105	HOST_Chr5	-	2674268	2000	2674268	2676268	2000	1.0	0.364	nan	PASS	False
LITCHI000106	HOST_Chr5	-	2674830	1000	2674830	2675830	1000	1.0	0.338	nan	PASS	False
LITCHI000106	HOST_Chr5	-	2674830	2000	2674830	2676830	2000	1.0	0.3345	nan	PASS	False
LITCHI000107	HOST_Chr5	-	2695322	1000	2695322	2696322	1000	1.0	0.349	nan	PASS	False
LITCHI000107	HOST_Chr5	-	2695322	2000	2695322	2697322	2000	1.0	0.3285	nan	PASS	False
LITCHI000108	HOST_Chr5	-	2755225	1000	2755225	2756225	1000	1.0	0.406	nan	PASS	False
LITCHI000108	HOST_Chr5	-	2755225	2000	2755225	2757225	2000	1.0	0.382	nan	PASS	False
LITCHI000109	HOST_Chr5	-	2760089	1000	2760089	2761089	1000	1.0	0.293	nan	FAIL	False
LITCHI000109	HOST_Chr5	-	2760089	2000	2760089	2762089	2000	1.0	0.282	nan	FAIL	False
LITCHI000110	HOST_Chr5	-	2801980	1000	2801980	2802980	1000	1.0	0.341	4.065192521397652	PASS	False
LITCHI000110	HOST_Chr5	-	2801980	2000	2801980	2803980	2000	1.0	0.3345	4.065192521397652	PASS	False
LITCHI000111	HOST_Chr5	-	2843691	1000	2843691	2844691	1000	1.0	0.34	nan	PASS	False
LITCHI000111	HOST_Chr5	-	2843691	2000	2843691	2845691	2000	1.0	0.304	nan	PASS	False
LITCHI000112	HOST_Chr5	+	2844306	1000	2843305	2844305	1000	1.0	0.338	nan	PASS	False
LITCHI000112	HOST_Chr5	+	2844306	2000	2842305	2844305	2000	1.0	0.325	nan	PASS	False
LITCHI000113	HOST_Chr5	-	2855163	1000	2855163	2856163	1000	1.0	0.337	27.255042176181863	PASS	True
LITCHI000113	HOST_Chr5	-	2855163	2000	2855163	2857163	2000	1.0	0.42	27.255042176181863	PASS	True
LITCHI000114	HOST_Chr5	-	2890386	1000	2890386	2891386	1000	1.0	0.234	53.79936036367186	PASS	False
LITCHI000114	HOST_Chr5	-	2890386	2000	2890386	2892386	2000	1.0	0.2385	53.79936036367186	PASS	False
LITCHI000115	HOST_Chr5	-	2912805	1000	2912805	2913805	1000	1.0	0.273	nan	PASS	False
LITCHI000115	HOST_Chr5	-	2912805	2000	2912805	2914805	2000	1.0	0.2615	nan	PASS	False
LITCHI000116	HOST_Chr5	+	2937746	1000	2936745	2937745	1000	1.0	0.381	nan	FAIL	False
LITCHI000116	HOST_Chr5	+	2937746	2000	2935745	2937745	2000	1.0	0.365	nan	FAIL	False
LITCHI000117	HOST_Chr5	+	2955344	1000	2954343	2955343	1000	1.0	0.267	450.6850730444182	PASS	False
LITCHI000117	HOST_Chr5	+	2955344	2000	2953343	2955343	2000	1.0	0.2765	450.6850730444182	PASS	False
LITCHI000118	HOST_Chr5	-	2972020	1000	2972020	2973020	1000	1.0	0.278	242.2368833405418	PASS	False
LITCHI000118	HOST_Chr5	-	2972020	2000	2972020	2974020	2000	1.0	0.263	242.2368833405418	PASS	False
LITCHI000119	HOST_Chr5	+	2974769	1000	2973768	2974768	1000	1.0	0.253	22.57163427562178	PASS	False
LITCHI000119	HOST_Chr5	+	2974769	2000	2972768	2974768	2000	1.0	0.258	22.57163427562178	PASS	False
LITCHI000120	HOST_Chr5	-	2984366	1000	2984366	2985366	1000	1.0	0.233	860.3657563798753	FAIL	False
LITCHI000120	HOST_Chr5	-	2984366	2000	2984366	2986366	2000	1.0	0.2205	860.3657563798753	FAIL	False
LITCHI000121	HOST_Chr5	+	2984063	1000	2983062	2984062	1000	1.0	0.367	nan	FAIL	False
LITCHI000121	HOST_Chr5	+	2984063	2000	2982062	2984062	2000	1.0	0.3355	nan	FAIL	False
LITCHI000122	HOST_Chr5	+	3002891	1000	3001890	3002890	1000	1.0	0.306	294.3370989091898	FAIL	False
LITCHI000122	HOST_Chr5	+	3002891	2000	3000890	3002890	2000	1.0	0.282	294.3370989091898	FAIL	False
LITCHI000123	HOST_Chr5	-	3010341	1000	3010341	3011341	1000	1.0	0.329	nan	FAIL	False
LITCHI000123	HOST_Chr5	-	3010341	2000	3010341	3012341	2000	1.0	0.2735	nan	FAIL	False
LITCHI000124	HOST_Chr5	+	3017127	1000	3016126	3017126	1000	1.0	0.33	nan	PASS	False
LITCHI000124	HOST_Chr5	+	3017127	2000	3015126	3017126	2000	1.0	0.275	nan	PASS	False
LITCHI000125	HOST_Chr5	+	3025735	1000	3024734	3025734	1000	1.0	0.264	443.0720022468495	FAIL	False
LITCHI000125	HOST_Chr5	+	3025735	2000	3023734	3025734	2000	1.0	0.2705	443.0720022468495	FAIL	False
